Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.6.2	speake vnto the children of Israel, and saye vnto them: when ether man or woman doth separate them selues to vowe a vowe of an absteiner, and appoynte them selues vnto the Lorde,
Num.6.3	he shall separate hym selfe from wyne and stronge dryncke, and shall dryncke no vynagre of wyne nor of stronge drynke, nor shall drynke whatsoeuer is pressed out of grapes: Ꟶ shall eate no freshe grapes nether yet dryed. As longe as hys abstinence endureth,
Num.6.4	shall he eate nothynge that is made of the vyne tre, or of the cornels, or of the huske of the grape.
Num.6.5	And as longe as he voweth, and is separated, there shall no rasure come apon hys heed: But vntyll hys dayes be out, in the which he separateth him selfe vnto the Lorde, he shalbe holy, and shall let the lockes of hys heere growe.
Num.6.6	As longe as he consecrateth hym selfe vnto the Lorde, he shall come at no deed bodye:
Num.6.7	he shall not make hym selfe vncleane at the death of hys father, mother, brother or syster: because that the vowe of the abstinence of hys God is vpon hys heade.
Num.6.8	All the dayes of hys abstinence he is holy vnto the Lorde.
Num.6.9	And yf it fortune that any man by chaunce dye sodenly before hym, the heed of hys abstinence shalbe defyled, and he shall shaue hys heed the daye of hys clensynge: euen the seuenth daye he shall shaue it.
Num.6.10	And the eyght daye he shall brynge two turtels or two yonge pigeons to the Preaste, before the dore of the Tabernacle of wytnesse.
Num.6.11	And the Preaste shall offer the one for synne and the other for a burnt offerynge, and make an attonement for hym, as concernynge that he synned vpon a soule, and shall halowe hys heed the same daye,
Num.6.12	and he shall consecrate hym selfe vnto the Lorde (the tyme of hys abstinencye) and shall brynge a lambe of a yere olde for trespace: but the dayes that were before are lost, because hys abstinencie was defyled.
Num.6.13	Thys is the lawe of the absteyner, when the tyme of hys abstinence is out, he shalbe broughte vnto the dore of the tabernacle of wytnesse,
Num.6.14	and he shall brynge hys offerynge vnto the Lorde: an he lambe of a yere olde without blemyshe for a burntofferynge, and a she lambe of a yere olde without blemyshe for synne, a ram wythout blemyshe also for a peace offerynge,
Num.6.15	and a basket of swete breed, euen cakes of fyne floure myngled with oyle, and wafers of swete bread anoynted wyth oyle wyth their meatofferynges and drynk offerynges.
Num.6.16	And the Preaste shall brynge hym before the Lord, and offer hys synofferynge and his burntofferynge,
Num.6.17	and shall offer the ram for a peaceofferynge vnto the Lorde, wyth the basket of swete breed, and the Preaste shall offer also his meat offerynge and his drinckofferynge.
Num.6.18	And he shall shaue the heed of the absteyner in the dore of the Tabernacle of wytnesse: euen the heed of his abstinence, and shall take the heere of his sober heed, and put it in the fyre, which is vnder the peaceofferynge.
Num.6.19	And the preaste shall take the sodden shoulder of the ram, and one swete cake out of the basket, and one swete wafer also, and put them vpon the handes of the absteyner (after he hath shauen his abstinence of)
Num.6.20	and the Preaste shall waue them before the Lorde. And these holy thynges shalbe the prestes, wyth the wauebrest and heue shoulder: and then the absteyner maye drynke wyne.
Num.6.21	Thys is the lawe of the absteyner whych hath vowed his offrynge vnto the Lorde for his consecracyon: Besydes those thynges that hys hande can gett, accordynge to the vowe whych he vowed, euen so he must do after the lawe of hys abstinence.
Num.6.22	And the Lorde spake vnto Moses, sayinge:
Num.6.23	speake vnto Aaron and his sonnes sayinge: of thys wyse ye shall blesse the chyldren of Israel, and saye vnto them.
Num.6.24	The Lorde blesse the, and kepe the.
Num.6.25	The Lorde make hys face shyne vpon the, and be mercyfull vnto the.
Num.6.26	The Lorde lyfte vp countenaunce vpon the, and geue the peace.
Num.6.27	And they shall put my name vpon the chyldren of Israel, and I wyll blesse them.
Num.7.1	And it fortuned in that daye, when Moses had full sett vp the habitacyon Ꟶ anoynted it Ꟶ sanctifyed it, Ꟶ all the apparell thereof, the alter also and all the vessels thereof: and had anointed them Ꟶ sanctifyed them,
Num.7.2	then the princes of Israell heedes ouer the houses of their fathers whych were the Lordes of the trybes, stondynge in their offices,
Num.7.3	offered Ꟶ brought their sacrifices before the Lorde: syxe couered charettes Ꟶ .xij. oxen: one charet for two Lordes, Ꟶ for one, an oxe, Ꟶ they broughte them before the habitacyon.
Num.7.4	And the Lorde spake vnto Moses sayinge
Num.7.5	take it of them, that they maye be to do the seruice of the tabernacle of wytnesse, Ꟶ thou shalt geue them vnto the Leuites, to euery man accordynge vnto his offyce.
Num.7.6	And Moses toke the charettes Ꟶ the oxen, Ꟶ gaue them vnto the leuites
Num.7.7	.ij. charettes Ꟶ .iiij. oxen he gaue vnto the sonnes of Gerson accordynge vnto their office.
Num.7.8	And .iiij. charettes Ꟶ eyght oxen he gaue vnto the sonnes of Merari (accordynge vnto their offices) vnder the hande of Ithamar the sonne of Aaron the Preaste.
Num.7.9	But vnto the sonnes of Cahath he gaue none, because they had vpon them the offyce of holy thynges, whych they dyd beare vpon shoulders.
Num.7.10	And the prynces offered for the dedycatynge of the alter (in the daye that it was anoynted) and brought theyr sacrifyces before the alter.
Num.7.11	And the Lorde sayde vnto Moses: The prynces shall brynge theyr offerynges, euery daye one prynce, for the dedycatynge of the alter.
Num.7.12	And so on the fyrst daye dyd Nahesson the sonne of Aminadab of the trybe of Iuda offre hys sacrifyce:
Num.7.13	And hys offerynge was a syluer charger, of an hundred and .xxx. sycles: a syluer boule of .lxx. sycles after the weyght of the Sanctuary: and they were both full of fyne wheten floure, myngled with oyle for a meat offerynge:
Num.7.14	a spone of ten sycles of golde, full of cens:
Num.7.15	a bullock, a ram, a lambe of a yere olde for a burnt offerynge:
Num.7.16	an he goate for a synofferynge:
Num.7.17	and (for a peace offerynge) two oxen, fyue rammes, fyue he goates and fyue lambes of a yere olde: thys was the gyfte of Nahesson the sonne of Aminadab.
Num.7.18	The seconde daye Nathanael, the sonne of zuar, captayne ouer Isachar dyd offre:
Num.7.19	And he offred for hys gyfte: a syluer charger of an hundred and thyrtye sycles: a syluer boule of seuentye sycles after the sycle of the sanctuary: both full of fyne floure myngled wyth oyle for a meat offerynge:
Num.7.20	a golden spone of ten sycles, full of cens:
Num.7.21	a bullock, a ram, a lambe of a yere olde for a burnt offerynge:
Num.7.22	and an he goate for synne:
Num.7.23	and (for a peaceofferynge) two oxen .v. rammes, fyue he goates, fyue lambes of one yere olde. Thys was the offerynge of Nathanael the sonne of zuar.
Num.7.24	The thyrde daye, Eliab the sonne of Helon captayne of the chyldren of zabulon dyd offre.
Num.7.25	And hys gyfte was: a syluer charger of an hundred and thyrtye sycles: a syluer boule of seuentye sycles after the sycle of the sanctuary, and both were full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.26	a golden spone of ten sycles full of cens:
Num.7.27	a bullock, a ram, a lambe of a yere olde for a burntofferynge:
Num.7.28	an he goate for synne:
Num.7.29	and (for a peaceofferynge) two oxen, fyue rammes, fyue he goates, fyue lambes, of one yere olde. Thys was the offerynge of Eliab the sonne of Helon.
Num.7.30	The fourth daye, Elizur the sonne of Sedeur captayne of the chyldren of Ruben, dyd offre.
Num.7.31	And hys gyfte was: a syluer charger of an hundred and thyrtye sycles: a syluer boule of seuentye sycles, after the Sycle of the Sanctuary, and they were, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.32	a golden spone of ten sycles full of cens:
Num.7.33	a bullock, a ram, a lambe of a yere olde for a burntoffrynge,
Num.7.34	an he goate for synne:
Num.7.35	and (for a peace offeringe) two oxen, fyue rammes, fyue he goates and fyue lambes, of one yere olde. Thys was the offerynge of Elizur the sonne of Sedeur.
Num.7.36	The fyfte daye, Selumiel the sonne of zuri Sadai, captayne of the chyldren of Simeon, offred.
Num.7.37	Hys gyfte was: a syluer charger of an hundred and thirtye sycles, a syluer boule of seuentye sycles: after the sycle of the Sanctuary, and they were both full of fyne floure myggled wyth oyle for a meatofferynge:
Num.7.38	a golden spone of ten sicles full of cens:
Num.7.39	a bullock, a ram, a lambe of a yere olde for a burntofferynge:
Num.7.40	an he goate for sinne:
Num.7.41	and for a peace offerynge two oxen, fyue rammes, fyue he goates, fyue lambes of a yere olde. Thys was the offerynge of Selumiel the sonne of zuri Sadai.
Num.7.42	The syxte daye, Eliasaph the sonne of Deguel captayne of the chyldren of Gad, offered:
Num.7.43	Hys gyfte was: a syluer charger of an hundred and thirtye sycles, a syluer boule of seuentye sicles: after the sycle of the sanctuary, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.44	a golden spone of ten sycles full of cens:
Num.7.45	a bullock, a ram, a lambe of a yere olde for a burntofferinge,
Num.7.46	an he goate for synne.
Num.7.47	And for a peace offerynge two oxen, fyue rammes, fyue he goates, fyue lambes of one yere olde. Thys was the offeringe of Eliasaph the sonne of Deguel.
Num.7.48	The seuenth daye, Elisama the sonne of Amiud captayne of the chyldren of Ephraim, offered.
Num.7.49	And hys sacrifyce was: a syluer charger of an hundred and thirtye sycles: a syluer boule of seuentye sycles: after the sycle of the Sanctuary, both full of fyne floure myngled with oyle, for a meatofferynge.
Num.7.50	a golden spone of ten sycles, full of cens:
Num.7.51	a bullock, a ram, a lambe of a yere olde for a burntofferynge:
Num.7.52	an he goate for synne:
Num.7.53	and for a peaceofferynge two oxen, fyue rammes, fyue he goates, fyue lambes of a yere olde. Thys was the offerynge of Elisama the sonne of Amiud.
Num.7.54	The eyght daye, offered Gamaliel the sonne of Pedazur, the captayne of the chyldren of Manasse.
Num.7.55	And hys offerynge was: a syluer charger of an hundred and thirtye sycles: a syluer boule of seuentye sycles after the sycle of the Sanctuary, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.56	a golden spone of ten sycles, full of cens:
Num.7.57	a bullock, a ram, a lambe of a yere olde for a burntofferynge:
Num.7.58	an he goate for synne:
Num.7.59	and for a peace offerynge two oxen, fyue rammes, fyue he goates, fyue lambes of a yere olde. Thys was the offerynge of Gamaliel the sonne of Pedazur.
Num.7.60	The nynth daye, Abidan the sonne of Gedeoni captayne of the chyldren of Ben Iamin offered.
Num.7.61	And hys gyfte was a syluer charger of an hundred and .xxx. sycles: a syluer boule of .lxx. sycles, after the sycle of the sanctuary, both full of fyne floure myngled with oyle for a meatofferynge:
Num.7.62	a golden spone of ten sycles, full of cens:
Num.7.63	a bullock, a ram, a lambe of one yere olde for a burntofferynge:
Num.7.64	an he goote for synne:
Num.7.65	and for a peace offerynge two oxen, fyue rammes, fyue he goates, fyue lambes of one yere olde. Thys was the offerynge of Abidan the sonne of Gedeoni.
Num.7.66	The tenth daye: Ahiezer the sonne of Ammi Sadai, captayne of the chyldren of Dan offered.
Num.7.67	And his offerynge was: a syluer charger of an hundred and thyrtye sycles: a syluer boule of seuentye sycles after the sycle of the sanctuary, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.68	a golden spone of ten sycles full of cens:
Num.7.69	a bullock, a ram, a lambe of a yere olde for a burntofferynge:
Num.7.70	an he goate for synne:
Num.7.71	and for a peaceofferynge two oxen, fyue rammes, fyue he goates, fyue lambes of a yere olde. Thys was the offrynge of Ahiezer the sonne of Ammi Sadai.
Num.7.72	The eleuenth daye, Pagiel the sonne of Ocran captayne of the chyldren of Aser, offered.
Num.7.73	And hys offerynge was: a syluer charger of an hundred and thyrtye sycles: a syluer boule of seuentye sycles after the sycle of the sanctuary, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.74	a golden spone of ten sycles, full of cens:
Num.7.75	a bullock, a ram, a lambe of one yere olde for a burntofferynge:
Num.7.76	an he goate for synne:
Num.7.77	and for a peace offerynge: two oxen, fyue rammes, fyue he goates, fyue lambes of one yere olde. Thys was the offerynge of Pagiel the sonne of Ocran.
Num.7.78	The twelueth daye, Ahira the sonne of Enan, captayne of the children of Nephthali offered.
Num.7.79	And hys offerynge was: a syluer charger of an hundred and .xxx. sycles: a syluer boule of .lxx. sycles after the sycle of the sanctuary, both full of fyne floure myngled wyth oyle for a meatofferynge:
Num.7.80	a golden spone of ten sycles, full of cens:
Num.7.81	a bullock, a ram, a lambe of one yere olde for a burntofferynge:
Num.7.82	an he goate for synne:
Num.7.83	and for a peace offerynge, two oxen, fyue rammes, fyue he goates, fyue lambes of one yere olde. This was the offerynge of Ahira, the sonne of Enan.
Num.7.84	Thys was the dedicacyon of the alter in the daye when it was anoynted: vnto the whyche was brought of the prynces of Israel .xij. chargers of syluer .xij. syluer boules .xij. spones of golde:
