Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.10.7	Then the one Cherub reached forth hys hande from vnder the Cherubyns, vnto the fyre that was betwene the Cherubyns, and toke therof, and gaue it vnto hym that had on the lynen rayment in his hande: which toke it, Ꟶ went out.
Ezek.10.8	And vnder the wynges of the Cherubyns, there appeared the lycknesse of a mans hande:
Ezek.10.9	I sawe also foure wheles besyde the Cherubyns, so that by euery cherub there stode a whele. And the wheles were (to loke vpon) after the fashion of the precyous stone of Tharsys:
Ezek.10.10	yet (vnto the syght) they were all .iiij. of one fashyon, as yf one whele had bene in another.
Ezek.10.11	When they wente forth, they wente all foure together, not turnynge aboute in their goinge: But where the fyrst wente, thyther wente they after also, so that they turned not aboute in their goyng.
Ezek.10.12	Their whole bodyes, their backes, theyr handes Ꟶ wynges, yee, and the wheles also, were all full of eyes rounde aboute them all foure.
Ezek.10.13	And I hearde hym call the wheles.
Ezek.10.14	Euery one of them had foure faces: so that the one face was the face of a Cherub, the seconde of a man, the thyrde of a lyon, the fourth of an Aegle,
Ezek.10.15	Ꟶ they were lyfted vp aboue. This is the beast, that I sawe at the water of Cobar.
Ezek.10.16	Nowe when the Cherubyns wente, the wheles wente wyth them, and when the Cherubyns shoke theyr wynges to lyft them selues vpwarde, the wheles remayned not behynde, but were wyth them also.
Ezek.10.17	Shortly, when they stode, these stode also. And when they were lyft vp, the wheles were lyft vp also with them, for the sprete of lyfe was in the wheles.
Ezek.10.18	Then the glory of the Lorde was lyft vp from the thresholde of the temple, and remayned vpon the Cherubyns:
Ezek.10.19	And the Cherubyns flackred wyth theyr wynges, and lyfte them selues vp from the earth: so that I sawe when they went, and the wheles wt them. And they stode at the east syde of the porte that is in the house of the Lorde. So the glory of the Lorde was vpon them.
Ezek.10.20	Thys is the beast that I sawe vnder the God of Israel, by the water of Cobar. And I perceaued, that it was the Cherubyns.
Ezek.10.21	Euery one had foure faces, Ꟶ euery one foure wynges, and vnder theyr wynges, as it were mens handes.
Ezek.10.22	Nowe the fygure of theyr faces was, euen as I had sene them, by the water of Cobar, and so was the countenaunce of them: Euery one in hys goinge wente strayght forwarde.
Ezek.11.1	Moreouer, the sprete of the Lord lyft me vp, and brought me vnto the East porte of the Lordes house. And beholde, there were .xxv. men vnder the dore amonge whom I sawe Iaazaniah the sonne of Azur, and Pheltiah the sonne of Bananiah, the rulers of the people.
Ezek.11.2	Then sayde the Lorde vnto me: Thou sonne of man: these men ymagyn myschefe, and a wycked councell take they in thys cyte,
Ezek.11.3	sayinge: tush, there is no destruccyon at hande, let vs buylde houses: this Ierusalem is the cauldron, and we be the fleshe.
Ezek.11.4	Therfore shalt thou prophecye vnto them, yee, prophecye shalt thou vnto them, O sonne of man.
Ezek.11.5	And wyth that fell the sprete of the Lorde vpon me, and sayde vnto me: Speake, thus sayeth the Lorde: On this maner haue ye spoken (O ye house of Israel) Ꟶ I knowe the ymaginacyons of youre hertes.
Ezek.11.6	Many one haue ye murthured in this cyte, and fylled the stretes full of the slayne.
Ezek.11.7	Therfore, thus sayeth the Lorde God: The slayne men that ye haue layed on the grounde in this cyte, are the flesh, and thys cyte is the cauldron: But I wyll brynge you out of it
Ezek.11.8	ye haue feared the swerde, Ꟶ I wyll brynge a swearde ouer you, sayeth the Lorde God.
Ezek.11.9	I wyll dryue you out of thys cyte and delyuer you into youre enemyes hande, and will condemne you.
Ezek.11.10	Ye shalbe slayne in all the coastes of Israel, I wyll be auenged of you: to lerne you for to knowe, that I am the Lord.
Ezek.11.11	Thys cyte shall not be youre cauldron, nether shall ye be the flesh theryn: but in the coastes of Israel wyll I punysh you,
Ezek.11.12	that ye maye knowe, that I am the Lorde: in whose commaundementes ye haue not walcked, ner kepte his lawes: but haue done after the customes of the Heathen, that lye rounde aboute you.
Ezek.11.13	Nowe when I preached, Pheltiah the sonne of Bananiah dyed. Then fell I downe vpon my face, and cryed wyth a loude voyce: O Lorde God, wylt thou then vtterlye destroye all the remnaunt in Israel?
Ezek.11.14	And so the worde of the Lorde came to me on thys maner:
Ezek.11.15	thou sonne of man: thy brethren, thy kynsfolke, Ꟶ the whole house of Iuda, which dwell at Ierusalem, saye. Wythdrawe ye farre from the Lorde, for the lande is geuen vs in possession.
Ezek.11.16	Therfore tell them, thus sayeth the Lorde God: I wyll sende you farre of amonge the Gentiles, and skatre you amonge the nacyons, Ꟶ I wyll halowe you but a lytle, in the landes where ye shall come.
Ezek.11.17	Tell them also, thus sayeth the Lorde God: I wyll gather you agayne out of the nacyons, and brynge you from the countrees where ye be scatred, and wyll geue you the lande of Israel agayne.
Ezek.11.18	And they shall comme thyther. And they shall take awaye all ther Idols Ꟶ all ther abhominacyons from thence.
Ezek.11.19	And I wyll geue you one hert, and I wyll plante a newe sprete wythin your bowels. That stony herte will I take out of your body, and geue you a flesshy herte?
Ezek.11.20	that ye maye walke in my commaundementes, and kepe myne ordinaunces, and do them: that ye maye be my people, Ꟶ I youre God
Ezek.11.21	But loke whose hertes are dysposed to folowe theyr abhominacyons and wycked lyuinges: those mens dedes wyll I brynge vpon theyr awne heades, sayeth the Lorde God.
Ezek.11.22	After thys dyd the Cherubyns lyft vp theyr wynges, and the wheles wente wyth them, and the glory of the Lorde was vpon them.
Ezek.11.23	So the glory of the Lorde wente vp from the myddest of the cyte, and stode vpon the mount of the cyte towarde the east:
Ezek.11.24	But the wynde toke me vp, and in a visyon (whych came by the sprete of God) it brought me agayne into Caldea amonge the presoners. Then the visyon that I had sene vanyshed awaye fro me.
Ezek.11.25	So I spake vnto the presoners, all the wordes of the Lorde, whych he had shewed me.
Ezek.12.1	The worde of the Lord came vnto me, sayinge:
Ezek.12.2	Thou sonne of man, thou dwellest in the myddest of a frowarde housholde: whych haue eyes to se, and yet se not: eares haue they to heare, and yet heare they not, for they are an obstinate housholde.
Ezek.12.3	Therfore (O thou sonne of man) make thy gere redy to flyt, and go forth by fayre daye lyght, that they maye se. Yee, euen in theyr syght shalt thou go from thy place to another place: yf paraduenture they wyll consydre, that they be an vnobedient housholde:
Ezek.12.4	Thy gere that thou hast made redy to flyt wythall, shalt thou beare out by fayre daye lyght that they maye se: and thou thy selfe shalt go forth also at euen in their syght, as a man doth when he flytteth.
Ezek.12.5	Dygge thorowe the wall, that they maye se Ꟶ beare thorow it the same thyng, that thou tokest vp in their syght.
Ezek.12.6	In ther syght that shalt thou beare vpon thy shulders, Ꟶ cary yt forthe in the darke. Hyde thy face that thou se not the earth, for I haue made the a shewtoken vnto the house of Israel.
Ezek.12.7	Nowe as the Lorde commaunded me, so I dyd: the geare that I had made readie brought I out by daye. At euen I brake downe an hole thorow the wall wyth my hande: and when it was darcke, I toke the gere vpon my shoulders, and bare them out in theyr syght.
Ezek.12.8	And in the mornynge, came the worde of the Lorde vnto me, sayinge:
Ezek.12.9	Thou sonne of man, yf Israel that frowarde housholde aske the, and saye: what doest thou there?
Ezek.12.10	Then tell them: Thus sayeth the Lorde God: Thys punyshment toucheth the chefe rulers at Ierusalem, and all the house of Israel, that dwell amonge them:
Ezek.12.11	Tell them: I am youre shewe token: lyke as I haue done, so shall it happen vnto you: Flyt shall ye also, and go into captiuitie.
Ezek.12.12	The chefest that is amonge you, shall lade hys shulders in the darcke, Ꟶ get hym awaye. He shall breake downe the wall, to carye stuffe therthorow: He shall couer his face, that he se not the grounde, with his eyes.
Ezek.12.13	My lyne wyll I sprede out vpon hym, and catch him in my net, and cary hym to Babylon, in the lande of the Caldees: which he shall not se, and yet shalt he dye there.
Ezek.12.14	As for all hys helpers, Ꟶ all hys Hostes, that be about hym. I wyll scatre them towarde all the wyndes, and drawe out a swearde after them.
Ezek.12.15	So when I haue scatred them amonge the Heathen, and strowed them in the landes they shall knowe, that I am the Lorde.
Ezek.12.16	But, I wyll leaue a lytle nombre of them from the swearde, hunger and pestilence: to tell all their abhominacyons amonge the Heathen, where they come: that they maye knowe, howe that I am the Lorde.
Ezek.12.17	Moreouer, the worde of the Lorde came vnto me sayinge:
Ezek.12.18	Thou sonne of man: wyth a fearfull tremblynge shalt thou eate thy bread, wyth carefulnesse Ꟶ sorowe shalt thou dryncke thy water.
Ezek.12.19	And vnto the people of the lande, speake thou on this maner: Thus sayeth the Lord God, to them that dwell in Ierusalem, and to the lande of Israel: Ye shall eate youre bread wyth sorowe, and dryncke youre water wyth heuynesse: Yee, the lande wyth the fulnesse therof shalbe layde waste, for the wyckednesse of them that dwell therin.
Ezek.12.20	And the cyties that now be well occupyed, shall be voyde, and the lande desolate: that ye may knowe, howe that I am the Lorde.
Ezek.12.21	Yet came the worde of the Lorde vnto me agayne, sayinge:
Ezek.12.22	Thou sonne of man, what maner of byworde is that, which ye vse in the lande of Israel, sayinge: Tush, seynge that the dayes are so slacke in commynge, all the visyons are of none effecte:
Ezek.12.23	Tell them therfore, thus sayeth the Lorde God: I wyll make that byworde to ceasse, so that it shall nomore be commenly vsed in Israel. But saye thys vnto them: The dayes are at hande, that euery thynge which hath bene prophecyed, shalbe fulfylled.
Ezek.12.24	There shall no visyon be in vayne, nether eny prophecie fayle amonge the chyldren of Israel:
Ezek.12.25	For it is I the Lorde, that speake it: and whatsoeuer I the Lorde speake, it shall be perfourmed, and not be slacke in commynge. Yee, euen in youre dayes (O ye frowarde housholde) will I deuyse some thynge, and brynge it to passe, sayeth the Lord God.
Ezek.12.26	And the worde of the Lorde came vnto me saying:
Ezek.12.27	Beholde, thou sonne of man: The house of Israel sayeth on thys maner: Tush, as for the visyon that he hath sene, it wyll be many a daye or it come to passe: It is farre of yet, the thynge that he prophecyeth.
Ezek.12.28	Therfore saye vnto them: Thus sayeth the Lorde God: All my wordes shall nomore be slacke: Loke what I speake, that same shall come to passe, sayeth the Lorde.
Ezek.13.1	The worde of the Lorde came vnto me, sayinge:
Ezek.13.2	Thou sonne of man. Speake, prophecye agaynst those prophetes, that preach in Israel Ꟶ saye thou vnto them that prophecye out of theyr awne hertes: Heare the worde of the Lord,
Ezek.13.3	thus sayeth the Lord God: Wo be vnto those folysh prophetes, that folowe theyr awne sprete and speake where they se nothyng.
Ezek.13.4	O Israel, thy prophetes are lyke the foxes vpon the drye felde:
Ezek.13.5	For they stande not in the gappes, nether make they an hedge for the house of Israel, that men myght abyde the battell in the daye of the Lorde.
Ezek.13.6	Uayne thynges they se, and tell lyes, to mayntaine their preachynges wythall. The Lorde (saye they) hath spoken it, whan in very dede the Lorde hath not sent them.
Ezek.13.7	Uayne visyons haue ye sene, and spoken false prophecyes, when ye saye: the Lorde hath spoken it, where as I neuer sayde it.
Ezek.13.8	Therfore, thus sayeth the Lord God: Because youre wordes be vayne, and ye seke out lyes: Beholde, I wyll vpon you, sayeth the Lorde.
Ezek.13.9	Myne handes shall come vpon the prophetes that loke out vayne thinges, and preach lyes: they shall not be in the councell of my people, ner wrytten in the boke of the house of Israel, nether shall they come in the lande of Israel: that ye maye knowe, howe that I am the Lorde God.
Ezek.13.10	And that for by cause: they haue dysceaued my people, and tolde them of peace, where no peace was. One setteth vp a wall, and they dawbe it with lowse claye.
Ezek.13.11	Therfore tell them whych dawbe it with vntempered morter, that it shall fall For there shall come a great shower of rayne greate hayle stones shall fall vpon it, Ꟶ a sore storme of wynde shall breake it,
