Acts.0.0	¶ The Actes of the Apostles.
Acts.27.11	Neuerthelesse the vnder captayne beleued the gouerner Ꟶ the master of the shyp more then those thynges whych were spoken of Paul.
Acts.27.12	And because the hauen was not commodious to wynter in, many toke counsell to departe thence, yf by eny meanes they myght attayne to Phenices Ꟶ there to wynter, whych is an hauen of Candy, and lyeth toward the southwest and north west wynde.
Acts.27.13	When the south wynde blewe, they supposynge to obtayne their purpose, loosed vnto Asson, and sayled past all Candy.
Acts.27.14	But not long after, ther arose agaynst theyr purpose, a flawe of wynde out of the northeast.
Acts.27.15	And when the shyp was caught Ꟶ could not resyst the wynde, we let her go, and draue with the wether.
Acts.27.16	But we were caryed in to an yle whych is named Clauda, and had moche worke to come by a bote,
Acts.27.17	whych they toke vp, and vsed helpe, Ꟶ made fast the shyppe, fearinge, lest they shuld fall into the Syrtes. And so they let downe a vessell, and were caryed.
Acts.27.18	The nexte daye (when we were tossed wyth an exceadinge tempest) they lyghttened the shyp,
Acts.27.19	and the thyrde daye we cast out wyth oure awne handes the taklynge of the shippe.
Acts.27.20	When at the last, nether the sunne nor starres in many dayes appeared, and no small tempest laye vpon vs, all hope that we shuld escape, was then taken awaye.
Acts.27.21	But after longe abstynence, Paul stode forth in the myddes of them, Ꟶ sayde: Syrs, ye shulde haue harkened to me, and not haue loosed from Candy, nether to haue brought vnto vs thys harme Ꟶ losse.
Acts.27.22	And now I exhorte you to be of good chere. For ther shalbe no losse of eny mans lyfe amonge you, saue of the ship onely.
Acts.27.23	For ther stode by me thys nyght the angell of God, whose I am, and who I serue,
Acts.27.24	saying: feare not Paul thou must be brought before Cesar, And lo, God hath geuen the all them that sayle wyth the.
Acts.27.25	Wherfore syrs be of good chere: for I beleue God, that it shalbe euen as it was tolde me.
Acts.27.26	How be it we must be cast into a certayne ylonde:
Acts.27.27	But when the fourtenth nyght was come (as we were sayling in Adria about mydnyght) the shypmen demed, that ther appeared some countre vnto them:
Acts.27.28	and sounded, Ꟶ founde it .xx. feddoms. And when they had gone a lytell further, they sounded agayne, and founde .xv. feddoms.
Acts.27.29	Then fearynge lest they shuld haue fallen on some rocke, they cast .iiij. ancres out of the sterne, and wysshed for the daye.
Acts.27.30	As the shypmen were about to flee out of the shyp (whan they had let downe the bote into the see, vnder a couloure, as though they wolde haue cast ancres out of the forshippe)
Acts.27.31	Paul sayde vnto the vndercaptayne and to the soudyers: excepte these abyde in the shypye cannot be safe.
Acts.27.32	Then the soudyers cut of the rope of the bote, and let it fall awaye.
Acts.27.33	And whan the daye beganne to appeare, Paul besought them all to take meate, sayinge: thys is the fourtenth daye, that ye haue taryed and contynued fastynge, receauynge nothing at all.
Acts.27.34	Wherfore, I praye you to take meate: for this no dout is for youre helth: for ther shall not an heer fall from the heed of eny of you.
Acts.27.35	And when he had thus spoken, he toke breed and gaue thankes to God in presence of them all: and whan he had broken it, he beganne to eate.
Acts.27.36	Then were they all of good cheare, and they also toke meate.
Acts.27.37	We were all together in the shyp, two hundred threscore and syxtene soules.
Acts.27.38	And when they had eaten ynough, they lyghtened the shyp, and cast out the wheate in to the see.
Acts.27.39	When it was daye, they knew not the lande, but they spyed a certayne hauen with a bancke, into the whych they were mynded (if it were possyble) to thrust in the shyp.
Acts.27.40	And when they had taken vp the ancres, they committed them selues vnto the see, and lowsed the rudder bondes and hoysed vp the mayne sayle to the wynde, and drue to lande.
Acts.27.41	And whan they chaunced on a place, whych had the see on both the sydes, they thrust in the shyp. And the foreparte stucke fast and moued not, but the hynder parte brake wyth the violence of the waues.
Acts.27.42	The Soudyars councell was to kyll the presoners, lest eny of them, when he had swome out, shulde ronne awaye.
Acts.27.43	But the vndercaptayne wyllinge to saue Paul, kept them from theyr purpose, and commaunded that they whych coulde swymme, shulde cast them selues fyrst into the see, and scape to lande.
Acts.27.44	And the other he commaunded to go, some on bordes, and some on broken peces of the shyp. And so it came to passe, that they escaped all safe to lande.
Acts.28.1	And when they were scaped, then they knewe, that: the yle was called Milete.
Acts.28.2	And the straungers shewed vs no lytell kyndnes: for they kyndled a fyre, and receaued vs euery one, because of the present rayne, Ꟶ because of the colde.
Acts.28.3	And when Paul had gathered a bondell of styckes, and layde them on the fyre, ther came a vyper out of the heat, Ꟶ caught hym by the hande.
Acts.28.4	When the straungers sawe the beast hange on hys hande, they sayde amonge them selues: no doute thys man is a mortherer: Whom (though he haue escaped the see) yet vengeaunce suffreth not to lyue.
Acts.28.5	And he shouke of the vyper into the fyre, and felt no harme.
Acts.28.6	Howbeit they wayted when he shulde haue swolne, or fallen downe deed sodenly. But after they had loked a greate whyle, and sawe no harme come to hym, they chaunged theyr myndes, and sayde that he was a God.
Acts.28.7	In the same quarters were londes of the chefe man of the yle (whose name was Publius) whych receaued vs, Ꟶ lodged vs thre dayes courteously.
Acts.28.8	And it fortuned that the father of Publius laye sycke of a feuer, and of a bloudy flixe. To whom paul entred in and prayde, and layde hys handes on hym Ꟶ healeth him.
Acts.28.9	So, when this was done, other also whych had dyseases in the yle, cam and were healed:
Acts.28.10	whych also dyd vs great honoure. And when we departed, they laded vs wt soch thynges as were necessary.
Acts.28.11	After thre monethes we departed in a ship of Alexandry, whych had wyntred in the yle, whose badge was Castor Ꟶ Pollux.
Acts.28.12	And when we came to Cyracusa, we taryed there thre dayes.
Acts.28.13	And from thence we fet a compasse, and came to Regium. And after one daye the south wynde blewe, and we came the nexte daye to Putiolus:
Acts.28.14	where we founde brethren, and were desyred to tary wyth them seuen dayes, and so came we to Rome.
Acts.28.15	And from thence, when the brethren hearde of vs, they came to mete vs at Apiphorum, and at the thre tauernes. When Paul sawe them, he thancked God, and wexed bolde.
Acts.28.16	And when we came to Rome, the vndercaptayne delyuered the presoners to the chefe captayne of the host: but Paul was suffred to dwell by hym selfe wyth a soudyer that kept hym.
Acts.28.17	And after thre dayes, Paul called the chefe of the Iewes together. And when they were come, he sayde vnto them: Men and brethren, though, I haue committed nothing agaynst the people or lawes of the Elders yet was I delyuered presoner from Ierusalem into the handes of the Romayns.
Acts.28.18	Whych when they had examined me, wolde haue let me go, because ther was no cause of death in me.
Acts.28.19	But when the Iewes spake contrary, I was constrayned to appeale vnto cesar: not that I had ought to accuse my people of.
Acts.28.20	For thys cause then haue I called for you, euen to se you, and to speake wyth you: because that for the hope of Israel I am bounde wt this cheyne.
Acts.28.21	And they sayde vnto hym: we nether receaued lettres out of Iewry pertayninge vnto the nether eny of the brethren that came shewed or spake eny harme of the.
Acts.28.22	But we wyll heare of the what thou thynckest. For as concernyng thys secte, we knowe that euery where it is spoken agaynst.
Acts.28.23	And when they had appoynted him a daye, ther came many to hym into hys lodgyng. To whom he expounded and testifyed the kyngdom of God and preached vnto them of Iesus: both out of the lawe of Moses and out of the Prophetes, euen from morninge to nyght.
Acts.28.24	And some beleued the thynges whych were spoken, and some beleued not.
Acts.28.25	And when they agreed not amonge them selues, they departed, after that Paul had spoken one worde: well spake the holy ghost by Esay the prophet vnto oure fathers,
Acts.28.26	saying: Go vnto thys people, and saye: wyth youre eares shall ye heare, and shall not vnderstande: and wyth youre eyes shall ye se, Ꟶ not perceaue.
Acts.28.27	For the hert of thys people is wexed grosse, and wyth their eares haue they had no lust to heare, and their eyes haue they closed: lest they shulde se wyth their eyes, Ꟶ heare wyth their eares, and vnderstande with their hertes, and shuld be conuerted, and I shuld heale them.
Acts.28.28	Be it knowen therfore vnto you, that thys saluacyon of God is sent to the gentyls, and they shall heare it.
Acts.28.29	And when he had sayde these wordes, the Iewes departed from him and had greate despycions amonge them selues.
Acts.28.30	And Paul dwelt two yeares full in hys lodgynge, and receaued all that cam in vnto hym,
Acts.28.31	preachinge the kyngdome of God, and teachynge those thynges whych concerne the Lorde Iesus wyth all confydence, no man forbyddyng hym.
Acts.0.0	¶ Here endeth the Actes of the Apostles. ✠
