Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.9.21	And he drynkynge of the wyne, was dronken, and vncouered wythin hys tent.
Gen.9.22	And Ham the father of Chanaan seynge the nakednesse of hys father, tolde hys two brethren wythout.
Gen.9.23	And Sem and Iapheth, they two, takynge a garment, layed it vpon their shulders: Ꟶ comminge bakwarde, couered the naked preuityes of their father: namely, theyr faces beynge turned awaye, lest they shulde se theyr fathers preuities.
Gen.9.24	And Noah awoke from hys wyne, and knewe what his yonger sonne had done vnto hym.
Gen.9.25	And he sayde: Curssed be Chanaan, a seruaunt of seruauntes shall he be vnto hys brethren.
Gen.9.26	He sayde moreouer: Blessed be the Lorde God of Sem, Ꟶ Chanaan shalbe hys seruaunt.
Gen.9.27	God shall enlarge Iapheth, and he shall dwell in the tentes of Sem, Ꟶ Chanaan shalbe their seruaunt.
Gen.9.28	Noah lyued after the floude thre hundreth and fyftye yeares.
Gen.9.29	And all the dayes of Noah were nyne hundreth Ꟶ fyftye yeares. And he dyed.
Gen.10.1	These are the generacions of the sonnes of Noah, Sem, Ham and Iapheth: And vnto them were chyldren borne after the floude.
Gen.10.2	The chyldren of Iapheth: Gomer and Magog, and Madai, and Iauan, and Thubal, Mesech and Theras.
Gen.10.3	The chyldren of Gomer: Askenas and Riphath and Thogarma.
Gen.10.4	The chyldren of Iauan: Elisa and Tharsis, Kitthim, and Dodanim.
Gen.10.5	Of these were the Iles of the Gentiles deuyded in their landes, euery man after hys tonge, Ꟶ after hys kynreds in their nacyons.
Gen.10.6	The children of Ham: Cusch Ꟶ Mizraiim, and Phut and Chanaan.
Gen.10.7	And the chyldren of Cusch: Seba and Hauilah and Sabtha, and Rahma, and Sabthecha. The chyldren of Rahma: Scheba and Dedan.
Gen.10.8	Cusch also begat Nimrod. The same beganne to be myghtye in the erth.
Gen.10.9	For he was a myghtye hunter before the Lorde. Wherfore it is sayde: Euen as Nimrod the myghtie hunter before the Lorde.
Gen.10.10	The begynning of his kyngdome was Babel and Erech and Accad, and Calne, in the londe of Sinhar.
Gen.10.11	Out of that londe came Assur, and buylded Niniue, and the stretes of the citie Ꟶ Calah.
Gen.10.12	Resen also betwene Niniue and Calah, and it is a greate cite.
Gen.10.13	Mizraiim begat Ludym, Ꟶ Enamim, Ꟶ Lehabim, and Nephtuhim.
Gen.10.14	Pathrusim also and Casluhim, out of whom came Philistiim and Capthorim.
Gen.10.15	Chanaan begat at zidon his fyrst borne sonne, and Heth,
Gen.10.16	Ꟶ Iebusi, and Emori, Ꟶ Girgosi.
Gen.10.17	Hahiui also and Haarki and Hassini,
Gen.10.18	and Haaruadi, and Hazmari, and Hahemathi: And afterwarde were the kynreds of the Cananites spred abrode.
Gen.10.19	The border of the Cananites was from zidon, as thou commest to Gerar vntill Gazan, and as thou goest vnto Sodoma, and Gomora, and Adama, and zeboiim, euen vnto Lesa.
Gen.10.20	These are the chyldren of Ham in their kynreds, in theyr tonges, countrees and in theyr nacyons.
Gen.10.21	Unto Sem also the father of all the children of Eber (and elder brother of Iapheth) there were chyldren borne.
Gen.10.22	The chyldren of Sem: Elam and Assur, Arphachsad, and Lud and Aram.
Gen.10.23	The children of Aram: Uz and Hul, Gether Ꟶ Mas
Gen.10.24	Arphachsad begat Selah, Ꟶ Selah begat Eber.
Gen.10.25	Unto Eber also were borne two sonnes: The name of the one was Peleg, for in hys dayes was the erth deuyded. And hys brothers name was Iaketan.
Gen.10.26	Iaketan begat Almodad and Saleph Hazarmaueth and Ierah,
Gen.10.27	and Hodoran Ꟶ Uzal and Dickla,
Gen.10.28	Obal also Ꟶ Abimael and Scheba,
Gen.10.29	and Ophir, and Hauila, and Iobab. All these were the chyldren of Iaketan.
Gen.10.30	And their dwellinge was from Mesa, as thou goest vnto Sephar a mount of the east.
Gen.10.31	These are the children of Sem after their kynreds and tonges in their londes and nacyons.
Gen.10.32	And so these are the kynreds of the chyldren of Noah, after their generacions in their peoples, and of these were the nacions deuyded in the erth after the floude.
Gen.11.1	Al the whole erth was of one language Ꟶ lyke speche.
Gen.11.2	And it happened whan they wente furth from the east, they founde a playne in the londe of Sinhar, Ꟶ there they abode.
Gen.11.3	And they sayd euery one to his neyghboure: Come, let vs prepare brycke, Ꟶ burne them in the fyre. And they had brycke for stone, Ꟶ slyme had they in steade of morter.
Gen.11.4	And they sayde: Go to, let vs buylde vs a citie Ꟶ a tower, whose toppe maye reach vnto heauen: Ꟶ let vs make vs a name, lest haply we be scatred abrode in to the vpper face of the whole erth.
Gen.11.5	But the Lord came downe, to se the cytie and tower whych the chyldren of men buylded.
Gen.11.6	And the Lorde sayde: Beholde, the people is one, and they haue all one language, Ꟶ thys they begynne to do, neyther wyll it be restrayned from them, whatsoeuer they haue ymagined to do.
Gen.11.7	Come on, let vs go downe, and confounde theyr language, that euery one perceaue not hys neyghbours speche.
Gen.11.8	And so the Lorde scatred them from that place into the vpper face of all the erth. And they left of to buylde the cytie.
Gen.11.9	And therfore is the name of it called Babel, because the Lorde dyd there confounde the language of all the erth. And from thence dyd the Lorde scater them abrode vpon the face of all the erth.
Gen.11.10	These are the generacyons of Sem: Sem was an hundreth yeare olde, and begat Arphachsad two yeare after the floude.
Gen.11.11	And Sem lyued (after he begat Arphachsad) fyue hundreth yeares, and begat sonnes and daughters.
Gen.11.12	Arphachsad lyued fyue and thyrtye yeares, Ꟶ begat Selah.
Gen.11.13	And Arphachsad lyued (after he begat Selah) foure hundreth Ꟶ thre yeares, and begat sonnes Ꟶ daughters.
Gen.11.14	Selah lyued thyrtye yeares, Ꟶ begat Eber.
Gen.11.15	And Selah lyued (after he begat Eber) foure hundreth and thre yeares, and begat sonnes and daughters.
Gen.11.16	Eber lyued foure and thyrtye yeares, and begat Peleg.
Gen.11.17	And Eber lyued (after he begat Peleg) foure hundreth and thyrtye yeares, Ꟶ begat sonnes and daughters.
Gen.11.18	Peleg lyued thyrtye yeares, Ꟶ begat Reu.
Gen.11.19	And Peleg lyued (after he begat Reu) two hundreth and nyne yeares, and begat sonnes and daughters.
Gen.11.20	Reu lyued two and thyrtye yeares, and begat Serug.
Gen.11.21	And Reu lyued (after he begat Serug) two hundreth and seuen yeares, and begat sonnes and daughters.
Gen.11.22	Serug lyued thyrtye yeares, Ꟶ begat Nahor.
Gen.11.23	And Serug lyued (after he begat Nahor) two hundreth yeares, and begat sonnes and daughters.
Gen.11.24	And Nahor lyued nyne Ꟶ twentye yeares, and begat Terah.
Gen.11.25	And Nahor lyued (after he begat Terah) an hundreth and nynetene yeares, and begat sonnes and daughters.
Gen.11.26	Terah lyued seuentye yeares, and begat Abram, Nahor, and Haran.
Gen.11.27	These are the generacyons of Terah: Terah begat Abram, Nahor Ꟶ Haran. Haran begat Lot.
Gen.11.28	And Haran dyed in the presence of Terah hys father, in the londe of hys natyuitye, euen in Ur of the Caldees.
Gen.11.29	Abram and Nahor toke them wyues: The name of Abrams wyfe was Sarai, Ꟶ the name of Nahors wyfe was Milca, the daughter of Haran the father of Milca Ꟶ the father of Iisca.
Gen.11.30	But Sarai was baren, Ꟶ had no chylde.
Gen.11.31	And Terah toke Abram his sonne, and Lot the sonne of Haran, hys sonnes sonne, Ꟶ Sara hys daughter in lawe, hys sonne Abrams wyfe. And they departed together from Ur of the Caldees, that they myght go into the londe of Chanaan, Ꟶ they came vnto Charan, Ꟶ dwelt there.
Gen.11.32	And the dayes of Terah were two hundreth and fyue yeares, and Terah dyed in Haran.
Gen.12.1	And the Lorde sayd vnto Abram: Get the out of thy countrey, Ꟶ out of thy nacyon, and from thy fathers house, vnto a londe that I wyll shewe the.
Gen.12.2	And I wyll make of the a greate people, and wyll blesse the, Ꟶ make thy name greate, that thou mayest be euen a blessynge.
Gen.12.3	I wyll also blesse them that blesse the, Ꟶ cursse suche as curseth the, Ꟶ in the shall all the kynreds of the erth be blessed.
Gen.12.4	And so Abram departed euen as the Lorde spake vnto him, Ꟶ Lot wente wyth hym. And Abram was seuentye Ꟶ fyue yeares olde, whan he departed out of Haram.
Gen.12.5	And Abram toke Sarai his wife Ꟶ Lot his brothers sonne, Ꟶ all theyr substaunce that they had in possessyon, Ꟶ the soules that they had begotten in Haran. And they departed, that they myght come in to the londe of Chanaan,
Gen.12.6	and in to the londe of Chanaan they came. Abram passed thorowe the londe vnto the place of Sichem, Ꟶ vnto the playne of Moreh: And the Cananite was then in the londe.
Gen.12.7	And the Lorde apearynge vnto Abram: sayd: Unto thy sede wyll I geue this londe. And there buylded he an altare vnto the lorde, euen where he had appeared vnto hym.
Gen.12.8	And remouynge thence vnto a mountayne that was eastwarde from bethel, he pitched his tent, hauynge Bethel on the west syde, Ꟶ Hai on the east. And he buyldynge an altare vnto the Lorde, dyd call on the name of the Lorde.
Gen.12.9	And Abram wente furth goinge and departynge towarde the south.
Gen.12.10	But there was a derth in that londe, and therfore wente Abram downe in to Egypte, that he myght soiourne there, for there was a sore derth in the londe.
Gen.12.11	And it happened whan he was come nere to entre in to Egypte, he sayde vnto Sarai hys wyfe: Beholde, I knowe, that thou art a fayre woman to loke vpon.
Gen.12.12	Therfore shall it come to passe that whan the Egypcyans se the, they shall saye: She is hys wyfe. And they shall kyll me, but they shall saue the alyue.
Gen.12.13	Saye (I praye the) that thou art my syster, that I maye fare well for thy sake, and that my soule maye lyue thorowe thy occasyon.
Gen.12.14	And so it happened, whan Abram was come in to Egypte, the Egyptians behelde the woman, for she was very fayre.
Gen.12.15	The prynces also of Pharao sawe her, and commended her before Pharao, and the woman was taken into Pharaos house.
Gen.12.16	And he truly intreated Abram well for her sake, and he had shepe Ꟶ oxen and he asses, men seruauntes and mayde seruauntes, she asses Ꟶ camels.
Gen.12.17	And the Lorde smote Pharao and hys house with greate plages because of Sarai Abrams wyfe.
Gen.12.18	And Pharao callinge Abram, sayde Why hast thou done thys vnto me? Why dyddest thou not tell me, that she was thy wyfe?
Gen.12.19	Nowe therfore beholde, there is thy wyfe, take her, and go thy waye:
Gen.12.20	And Pharao gaue the men commaundement concernynge him and they conuayed him furth, and his wyfe, and all that he had.
Gen.13.1	And so Abram gat him vp out of Egypte, he Ꟶ his wyfe, Ꟶ all that he had, Ꟶ Lot wyth hym, towarde the south.
Gen.13.2	And Abram was very ryche, in catell in syluer Ꟶ golde.
Gen.13.3	And he wente furth on hys iourney from the south towarde Bethel, vnto the place where hys tent had bene at the begynnynge, betwene Bethel Ꟶ Hai:
Gen.13.4	Euen vnto the place of the altare which he had made there at the fyrst, and there Abram called on the name of the Lorde.
Gen.13.5	Lot also whych went with Abram had shepe, cattell Ꟶ tentes:
Gen.13.6	Ꟶ the lande was not able to receaue them that they myght dwell together, for the substaunce of their ryches was greate, Ꟶ they coulde not dwell to gether.
Gen.13.7	And there fell a stryfe betwene the herdmen of Abrams catell, Ꟶ the herdmen of Lots catell. Moreouer the Cananytes and the Pheresytes dwelled at that tyme in the lande.
Gen.13.8	Then sayde Abram vnto Lot: Let there be no stryfe (I praye the) betwene the and me Ꟶ betwene my herdmen and thyne, for we be brethren.
Gen.13.9	Is not all the hole lande before the? Departe I praye the fro me. If thou wilt take the lefte hande, I will go to the ryght: or yf thou departe to the ryght hande I will go to the left.
Gen.13.10	And so Lot lyftynge vp hys eyes, beholde all the contre of Iordane, which was a plenteous contre of water euery where, before the Lord destroyed Sodome Ꟶ Gomorra, euen as the garden of the Lorde, lyke the lande of Egypte as thou commest vnto zoar.
Gen.13.11	Than Lot chose all the playne countrey of Iordane Ꟶ toke hys iourney from the east. And so departed the one brother from the other.
Gen.13.12	Abram dwelled in the lande of Canaan: and Lot abode in the cyties of the playne, Ꟶ tented vntyll Sodome.
Gen.13.13	But the men of Sodome were wicked, and exceadynge synners before the Lorde.
Gen.13.14	And the Lorde sayde vnto Abram, after that Lot was departed from him. Lyfte vp thyne eyes nowe, Ꟶ loke from the place where thou art, northwarde, southwarde, estwarde Ꟶ westwarde,
Gen.13.15	for all the lande whyche thou seeste wyll I geue vnto the and to thy seed for euer.
Gen.13.16	And I wyll make thy seed, as the dust of the erth: so that yf a man can nombre the dust of the erth, than shall thy seed also be nombred.
Gen.13.17	Aryse and walke about in the lande, after the length of it Ꟶ after the bredth therof, for I wyll geue it vnto the.
Gen.13.18	And Abram takynge downe hys tente, came and dwelled in the okegroue of Mamre, namely in Ebron, and buylded there an alter vnto the Lorde.
Gen.14.1	And it chaunsed in the dayes of Amraphael kynge of Synhar, Arioch kinge of Ellasar, kedorlaomor kynge of Elam, Ꟶ Thydeall kynge of the nacions,
Gen.14.2	and they made warre wyth Bera kynge of Sodome, Ꟶ wyth Birsa kynge of Gomorra, and with Sineab kynge of Adama, and with Semeabar kynge of zeboim, and with the kynge of Bela. The same is zoar.
Gen.14.3	All these were ioyned together in the vale of Siddim where the salt see is.
Gen.14.4	For twelue yeare wert they subiecte to kynge kedorlaomor, and in the .xiij. yere rebelled.
Gen.14.5	But in the .xiiij. yere came kedorlaomor and the kynges that were wyth hym, and smote the Gyauntes in Astaroth karnaim and the Susyms in Ham, Ꟶ the Emyms in the playne of kariathim,
