1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.28.10	And Saul sware to her by the Lorde saying: As suerly as the Lorde lyueth, there shall no harme chaunce the for this thyng.
1Sam.28.11	Then sayd the woman: whom shall I fetche vp vnto the? He answered: Bring me vp Samuel.
1Sam.28.12	When the woman saw Samuel, she cryed wt a lowde voyce, and spake to Saul saying: why hast thou disceaued me? for thou art Saul.
1Sam.28.13	And the kyng sayde vnto her, be not afrayde: What seest thou? The woman sayd vnto Saul. I se goddes ascending vp out of the erth.
1Sam.28.14	He sayde vnto her agayne: what fassion is he of? She answered: there cometh vp an olde man wt a mantell vpon hym. And Saul perceaued that it was Samuel Ꟶ he stouped wt his face to the grounde, Ꟶ bowed hym selfe.
1Sam.28.15	And Samuel sayd to Saul: why hast thou vnquieted me, to make me be brought vp? Saul answered: I am sore encombred. For the Philystynes make warre agaynst me, Ꟶ God is departed from me and answereth me no more, nether by prophetes, nether by dreames. And therfore I haue called the, that thou mayest tell me, what I shall do.
1Sam.28.16	Then sayd Samuel: wherfore doest thou aske of me, whyle the Lorde is gone from the, Ꟶ is become thyne enemye?
1Sam.28.17	Truly the Lord hath done for hym selfe, euen as he spake by my hand. For the Lorde hath rent the kingdome out of thyne hande, Ꟶ geuen it thy neyboure Dauid.
1Sam.28.18	Because thou obeyedst not the voyce of the Lord, nor executedst hys fearce wrath vpon the Amaleckites, therfore hath the Lord done this vnto the this daye.
1Sam.28.19	And moreouer, the Lorde wyll delyuer Israel wt the, into the handes of the Philistines. To morowe shalt thou and thy sonnes be with me, and the Lorde shall geue the hoste of Israel into the handes of the Philistines.
1Sam.28.20	Then Saul fell streyght waye flatte on the erth a longe as he was, and was sore adread because of the wordes of Samuel. And there was no strength in hym, for he had eaten no bread all the daye and the nyght before.
1Sam.28.21	And the woman cam vnto Saul, and sawe that he was sore troubled, and sayde vnto hym: Se, thyne handmayd hath obeyed thy voyce, Ꟶ haue put my soule in my hande, and haue harkened vnto thy wordes, which thou saydest vnto me.
1Sam.28.22	Nowe therfore harken thou also vnto the voyce of thyne handmayd, and let me sett a morsell of bread before the, that thou mayest eate and gett the strength, Ꟶ then go on thy iourneye.
1Sam.28.23	He refused, and sayde: I wyll not eate. But hys seruauntes Ꟶ the woman togeather compelled him, and he hearkened vnto theyr voyce. And so he arose from the erth, and sat him on a bedd.
1Sam.28.24	The woman had a fat calfe in the house, and she hasted Ꟶ kylled it, and toke flowre Ꟶ kneded it, and dyd bake swete cakes therof,
1Sam.28.25	and brought them before Saul and before his seruauntes. And when they had eaten, they stode vp, and went awaye the same nyght.
1Sam.29.1	The Philistines were geathered togeather wt all their armyes vnto Aphec: And the Israelites pitched in Aiin, which is in Iesrahel.
1Sam.29.2	And the Lordes of the Philistines went forth wt the hundreds. Ꟶ thousandes. But Dauid Ꟶ his men came behinde wt Achis.
1Sam.29.3	Then sayde the Lords of the Philistines, what are younder Ebrues? Achis sayd vnto the Lordes of the Philistines: Is not thys Dauid the seruaunt of Saul the kynge of Israel, whych hath bene wyth me these dayes or yeres? I haue founde no fault in hym, sence he fledd vnto me vnto thys daye.
1Sam.29.4	And the Lordes of the Philistines were wroth wyth hym and sayde vnto hym: Make this felowe returne, that he maye go agayne to hys place whych thou hast appoynted hym: and let hym not go downe wyth vs to battell, lest in the battell he be an aduersarye to vs. For wherwyth coulde he better obtayne the fauoure of hys master, then wyth the heedes of these men?
1Sam.29.5	Is not thys Dauid, to whom they sange in daunses: Saul slue hys thousande, and Dauid hys ten thousande?
1Sam.29.6	Then Achis called Dauid, and sayde vnto hym: As sure as the Lorde lyueth, thou hast bene honest, and good in my syght, whan thou wentest out Ꟶ in wyth me in the hoost: neyther haue I founde euell with the, sence thou camest to me vnto thys daye: Neuerthelesse the Lordes of the Philistines fauoure the not:
1Sam.29.7	Wherfore now returne, Ꟶ go in peace, that thou displease not the Lordes of the Philistynes.
1Sam.29.8	And Dauid sayde vnto Achis: And what haue I done? what hast thou founde in thy seruaunt, as long as I haue bene wyth the vnto thys daye, that I maye not go fyght against the enemyes of my Lorde the kynge?
1Sam.29.9	Achis answered Ꟶ sayd to Dauid: I know that thou art good, Ꟶ art in my syght, as an Angell of God. Not wythstandinge the Lordes of the Philistynes haue sayde: Let hym not go vp wt vs to battell.
1Sam.29.10	Wherfore nowe ryse vp earlye in the mornyng wt thy masters seruauntes that are come to the: and when ye be vp early (as sone as ye haue lyght) departe.
1Sam.29.11	And so Dauid and his men rose vp earlye to departe in the mornynge, Ꟶ to returne into the land of the Philistines. And the Philistines went vp to Iezraell.
1Sam.30.1	But whan Dauid Ꟶ hys men were come to zikleg the thirde daye, the Amaleckites had russhed in vpon the south, and vpon zikleg, Ꟶ had smytten zikleg, Ꟶ burnt it wt fyre,
1Sam.30.2	Ꟶ had taken the wemen (that were therin) presoners, both small Ꟶ great: but slew not a man, saue caryed them wt them, Ꟶ went theyr wayes.
1Sam.30.3	So Dauid and hys men came to the cytie: Ꟶ beholde, it was burnt with fyre, Ꟶ their wyues, theyr sonnes and their daughters were caryed awaye.
1Sam.30.4	Then Dauid and the people that was wyth hym, lyfte vp their voyces Ꟶ wept, vntyll they could wepe no more.
1Sam.30.5	And Dauids two wiues were taken presoners also: Ahinoam the Iezrahelite, and abigail the wyfe of Nabal the Carmelite.
1Sam.30.6	And Dauid was in a shrewde combraunce: for the people entended to stone hym, because the hertes of all the people were vexed for theyr sonnes Ꟶ theyr daughters. But Dauid toke a good courage to hym in the Lorde hys God
1Sam.30.7	Ꟶ sayde to Abiathar the preste Ahimelechs sonne: I pray the, bring me the Ephod. And Abiathar brought the Ephod to Dauid.
1Sam.30.8	And Dauid asked councell at the Lorde, sayinge: shall I folowe after thys companie? and shall I ouertake them? And he answered him: folow, for thou shalt ouertake them, and recouer the praye.
1Sam.30.9	So Dauid and the syxe hundred men that were with hym, went Ꟶ cam to the riuer Besor, where a part of them abode.
1Sam.30.10	But Dauid and foure hundred men folowed: For two hundred abode behinde, beynge to werye to go ouer the ryuer Besor.
1Sam.30.11	And they founde an Egypcian in the felde, and brought hym to Dauid and gaue hym bread to eate, Ꟶ water to dryncke,
1Sam.30.12	Ꟶ gaue hym a fewe fygges Ꟶ two clousters of reasings. And when he had eaten, hys sprete cam agayne to hym: for he had eaten, no bread nor droncke no water in thre dayes Ꟶ thre nyghtes.
1Sam.30.13	And Dauid sayd vnto him: to whom belongest thou? Ꟶ whence art thou? he sayd: I am a yonge man of Egypt and seruaunt to an Amaleckite: and my master left me behynde, because it is thre dayes agone, that I fell sycke:
1Sam.30.14	we came a rouyng vpon the south of Chretus, and against Iuda, and towarde the south of Caleb. And we burnt zikleg wyth fyre.
1Sam.30.15	And Dauid sayde to hym: canst thou brynge me to this company? And he sayde: swere vnto me by God, that thou wylt nether kyll me, nor delyuer me into the handes of my master, and I will brynge the to the companye.
1Sam.30.16	And when he had brought hym thyther, beholde, they laye skatered abroade vpon the erth, eatynge Ꟶ drinckynge, Ꟶ daunsynge, because of the plenteous Ꟶ great pray, that they had caried awaye out of the land of the Philistines, Ꟶ out of the lande of Iuda.
1Sam.30.17	And Dauid layd vpon them from the euen, vntill the twilyght on the morow: so that there escaped not a man of them, saue foure hundred young men which rode awaye vpon cameles, and fledd.
1Sam.30.18	And Dauid recouered all that the Amaleckites had caried awaye, Ꟶ Dauid rescued hys two wyues:
1Sam.30.19	so that ther was no person of them lacking, small or great, sonne or daughter, or of the spoyle of all that they had take awaye, Dauid recouered them all agayne.
1Sam.30.20	And Dauid toke all the shepe, Ꟶ the oxen. And they draue them before his catell, Ꟶ sayd: this is Dauids pray.
1Sam.30.21	And Dauid came to the two hundred men, that were to werye for to folowe Dauid, whom they had made also to abyde at the ryuer Besor. And they cam to mete Dauid, Ꟶ the people that were wyth him. And when Dauid cam to the people, he saluted them.
1Sam.30.22	Then answered all the wycked Ꟶ the vnthriftes (of the men that went with Dauid) Ꟶ sayde: because they went not with vs, therfore will we geue them none of the praye, that we haue recouered, But let euery man take hys wyfe and hys chyldren: Those lett them cary awaye, and be walkynge.
1Sam.30.23	Then sayde Dauid: ye shall not do so (my brethren) wt that which the Lord hath geuen vs, Ꟶ hath preserued vs, Ꟶ delyuered the companye that came agaynst vs, into oure handes.
1Sam.30.24	For who shuld herken vnto you in thys matter? But as hys parte is that goeth downe Ꟶ fyghteth, so shall his parte be, that taryeth by the stuffe, that it maye be parted alyke.
1Sam.30.25	And so from that daye forwarde: was that made a statute Ꟶ lawe in Israel, vntyll thys daye.
1Sam.30.26	When Dauid therfore cam to zikleg he sent of the praye vnto the elders of Iuda and to hys frendes saying: se, there is a blessyng for you, of the spoyle of the enemyes of the Lorde.
1Sam.30.27	He sent to them of Bethel: to them of south Ramoth: to them of Iathir:
1Sam.30.28	to them of Aroer: to them of Sephamoth: to them of Esthemoa:
1Sam.30.29	to them of Rachel: to them of the cyties of Ierahmeel: to them of the cyties of the kenites:
1Sam.30.30	to them of Horma: to them of Borasan: to them of Athach:
1Sam.30.31	to them that are in Hebron, and in all places, wher Dauid and hys men were wont to haunt.
1Sam.31.1	The Philistines fought agaynst Israel and the men of Israel fledd awaye from the Philistines, Ꟶ fell downe wounded in mount Gilboa.
1Sam.31.2	And the Philistynes preased sore vpon Saul Ꟶ his sonnes, Ꟶ slewe Ionathas, Ꟶ Abinadab Ꟶ Melchisua Sauls sonnes.
1Sam.31.3	And whan the battell went sore agaynst Saul, the archers with bowes founde hym, Ꟶ he was sore afrayed of the archers.
1Sam.31.4	Then sayd Saul vnto his harnesberer draw out thy swerde, Ꟶ thrust me thorowe therwyth, lest these vncircumcised come, Ꟶ thrust me thorowe and make a mockynge stocke of me. But hys harnesberer wolde not, for he was sore afrayed. And Saul toke a swerde, and fell vpon it.
1Sam.31.5	And when his harnesberer sawe that Saul was deed, he fell lykewyse vpon his swerde, Ꟶ dyed wyth hym.
1Sam.31.6	And so Saul dyed, Ꟶ his thre sonnes, and his harnesberer, and all hys men that same daye togeather.
1Sam.31.7	And when the men of Israel that were on the other syde of the valeye, Ꟶ they of the other syde Iordan, heard, that the men of Israel were put to flight, and that Saul and hys sonnes were deed, they left the cyties, Ꟶ ranne awaye and the Philistines cam, and dwelt in them.
1Sam.31.8	On the morowe when the Philistines were come to spoyle them that were slayne, they founde Saul and hys thre sonnes lyenge in mount Gilboa.
1Sam.31.9	And they cut of his heed, and stripped him out of his harnesse: Ꟶ sent into the lande of the Philistines on euery syde, that they shulde publysshe it in the temple of their Idolles, and amonge the people.
1Sam.31.10	And they layed vp hys harnesse in the house of Astharoth, but they hanged vp hys body on the wall of Bethsan.
1Sam.31.11	When the enhabiters of Iabes in Gilead hearde therof, what the Philistines had done to Saul,
1Sam.31.12	they arose (as manye as were stronge men) and went all nyght and toke the body of Saul, and the bodyes of hys sonnes from the wall of Bethsan, and came to Iabes, and burnt them there
1Sam.31.13	and toke their bones and buryed them vnder a tree at Iabes, and fasted seuen dayes.
1Sam.0.0	¶ The ende of the fyrst boke of Samuel, otherwyse called the fyrst if the kynges
