2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.32.31	And when the prynces of Babylon sent vnto him Ambassatoures, to enquyre of the wondre that chaunced in the lande, God left hym to trye hym, and that all that was in hys hert, myght be knowne.
2Chr.32.32	The rest of the dedes of Hezekia, and hys goodnes, behold, they are wryten in the vysyon of Isai the prophete the sonne of Amoz in the boke of the kinges of Iuda and Israell.
2Chr.32.33	And Hezekia slepte with his fathers, Ꟶ they buryed hym in the most worthy place of the sepulchres of the sonnes of Dauid: and all Iuda and the enhabiters of Ierusalem dyd hym worshyppe at his death. And Manasse hys sonne raygned in his steade.
2Chr.33.1	Manasse was .xij. yeare olde when he beganne to raygne, Ꟶ he raygned .lv. yeare in Ierusalem:
2Chr.33.2	But dyd euell in the syght of the Lord, lyke vnto the abhominacions of the heathen, whom the Lorde cast out before the children of Israel. For he went to,
2Chr.33.3	and buylt the hylaulter, which Hezekia hys father had broken downe. And he rered vp aulters for Baalim, and made groues, and worshypped all the hoost of heauen, and serued them.
2Chr.33.4	And he buylt aulters in the house of the Lord: where as the Lorde yet had sayd: in Ierusalem shall my name be for euer.
2Chr.33.5	And he buylded aulters for all the hoost of heauen, in the two courtes of the house of the Lorde.
2Chr.33.6	And he burnt hys chyldren in fyre, in the valey of the sonne of Hinnom. He was a sorcerer, he regarded the cryenge of byrdes, vsed inchauntementes, and mayntened workers wt spretes, and sears of fortunes: and wrought moch euell in the syght of the Lorde, to angre him with all.
2Chr.33.7	And he put the kerued ymage Ꟶ an Idole which he had made, in the house of God. Of which house God had sayd to Dauid and to Salomon his sonne: in this house and in Ierusalem whych I haue chosen afore all the trybes of Israell, wyll I put my name for euer,
2Chr.33.8	and will nomore bryng the seate of Israell from of the lande which I haue ordeyned for your fathers. If so be that they wyll be diligent and do all that I haue commaunded them in al the lawe, and statutes, and ordinaunces by the hande of Moses.
2Chr.33.9	And so Manasse made Iuda and the enhabiters of Ierusalem to erre, and to do worse then the heathen, whom the Lorde destroyed before the chyldren of Israell.
2Chr.33.10	And the Lorde spake to Manasse Ꟶ to hys people, but they wolde not regarde.
2Chr.33.11	Wherfore, the Lord brought vpon them the captaynes of the host of the kyng of the Assirians, whych toke Manasse in holde, and bounde hym with chaynes, and caryed hym to Babylon.
2Chr.33.12	And when he was in trybulacion, he besought the Lord hys God, Ꟶ humbled hym selfe exceadyngly before the God of his fathers,
2Chr.33.13	and made intercession to hym and God was entreated of hym, and hearde his prayer, and brought hym agayne to Ierusalem into his kyngdome. And then Manasse knewe, that the Lorde was God.
2Chr.33.14	After this he built a wal without the cytie of Dauid on the west syde of Gihon in the valley as they come to the fish gate, Ꟶ round about Ophel, and brought it vp of a very great heygth, and put captaynes of warre in all the strong cyties of Iuda.
2Chr.33.15	And he toke awaye straunge Gods Ꟶ ymages out of the house of God, and all the aulters that he had buylt in the mount of the house of God, and in Ierusalem, and cast them oute of the cytie.
2Chr.33.16	And he prepared the aultar of the Lord, and sacrifyced theron peace offerynges, and thankoffrynges, and charged Iuda, to serue the Lord God of Israel.
2Chr.33.17	Neuertheles, the people dyd offer styll in the hylaulters, howbeit vnto the Lorde their God onely.
2Chr.33.18	The rest of the actes of Manasse, and his prayer vnto his God, and the wordes of the sears and of them that spake to hym in the name of the Lorde God of Israell, beholde, they are writen in the sayenges of the kynges of Israel.
2Chr.33.19	And his prayer, and howe that he was hearde, and all his synnes, and his trespasse, and the places where he made hylaulters, and set vp groues, and ymages (before he was mekened) beholde, they are wrytten among the sayenges of the sears.
2Chr.33.20	And Manasse slepte with hys fathers, and they buryed hym in hys awne house: and Amon his sonne raigned in his rowme.
2Chr.33.21	Amon was two and twenty yeare olde, when he beganne to raygne, and raygned two yeare in Ierusalem.
2Chr.33.22	But he did euell in the syght of the Lord, lyke as dyd Manasse his father, for Amon sacrificed to all the kerued ymages which Manasse hys father had made, and serued them,
2Chr.33.23	and submitted not him selfe before the Lord as Manasse hys father had mekened hym selfe. But Amon trespassed greatly.
2Chr.33.24	And his awne seruauntes conspired agaynst him, and slue hym in hys awne house.
2Chr.33.25	But the people of the lande slue all them that had conspyred agaynst kynge Amon. And the same people of the lande made Iosia hys sonne kynge in hys rowme.
2Chr.34.1	Iosia was eyght yeare olde whan he began to raygne, and he raygned in Ierusalem thyrtye and one yere.
2Chr.34.2	And he dyd that which was ryght in the syght of the Lorde, and walked in the wayes of Dauid his father, and bowed nether to the ryght hand ner to the left.
2Chr.34.3	In the .viij. yere of hys raygne (when he was yet a childe) he beganne to seke after the God of Dauid hys father. And in the twelueth yeare he beganne to pourge Iuda and Ierusalem from hylaulters, groues, kerued ymages, and ymages of metall:
2Chr.34.4	and they brake downe the aulters of Baalim euen in hys presence: and other ymages that were in greater honoure then they, he caused to be destroyed. And the groues, kerued ymages, and ymages of metall he brake and made dust of them, and strawed it vpon the graues of them that had offered to them.
2Chr.34.5	And he burnt the bones of the preastes vpon the aulters of them, and clensed Iuda and Ierusalem.
2Chr.34.6	And euen so dyd he in the cyties of Manasse, Ephraim, Simeon vnto Nephthali. And in the wyldernesses of them rounde about,
2Chr.34.7	he plucked a sondre the aulters and the groues, and dyd beate them and stampte them to powdre, Ꟶ beate downe all the ymages thorow out all the lande of Israel: and returned to Ierusalem agayne.
2Chr.34.8	In the eyghtene yere of his raygne when he had purged the lande and the temple he sent Saphan the sonne of Amaziahu, and Maasiah the gouernoure of the cytie Ꟶ Ioah the sonne of Ioahaz the recorder, to repayre the house of the Lorde hys God.
2Chr.34.9	And when they came to Helkiah the hye preast, they delyuered them the money that was brought in to the house of God, whych the Leuites that kepte the entryes had geathered of the hande of Manasse and Ephraim, and of all that yet remayned in Israel, and of all Iuda and BenIamin, and of the enhabiters of Ierusalem.
2Chr.34.10	And they put in the handes of the worckemen, that had the ouersyght of the house of the Lorde: and they gaue it to the labourers that wrought in the house of the Lorde, to repayre and mende the house.
2Chr.34.11	Even to masons and carpenters gaue they it, to get stone and tymbre, for couples and for beames of the houses, which the kynges of Iuda had destroyed:
2Chr.34.12	And the men dyd the worcke faythfully. And the ouersears of them to courage them forward, were Iahath and Obadiahu Leuites of the chyldren of Merari: Ꟶ Secharia Ꟶ Mesullam, of the chyldren of the Cahathites, and other of the Leuytes whych all coulde skylle of instrumentes of Musicke.
2Chr.34.13	And ouer the bearers of burthens and ouer all that wrought, in whatsoeuer worckemanshyppe it were, were there Scrybes, officers and porters of the Leuites.
2Chr.34.14	And whan they brought out the money that was brought into the house of the lord, Helkia the preaste founde the boke of the lawe of the Lord geuen by Moses.
2Chr.34.15	And Helkia answered and sayde to Saphan the scribe: I haue founde the boke of the law, in the house of the Lorde, and Helkia gaue the boke to Saphan.
2Chr.34.16	And Saphan caryed the boke to the kyng, and brought the kyng worde agayne, sayenge: all that was commytted to thy seruauntes, that do they.
2Chr.34.17	And they haue gathered together the money that was found in the house of the Lord, and haue delyuered it into the handes of the ouersears of the worke, and to the handes of the worckemen.
2Chr.34.18	And then Saphan the scribe shewed the kyng, saying: Helkia the preast hath geuen me a boke, Ꟶ Saphan redd in it before the king.
2Chr.34.19	And it fortuned, that when the kyng had heard the wordes of the lawe, he tare his clothes:
2Chr.34.20	and the kyng commaunded Helkia and Ahikam the sonne of Saphan, and Abidon the sonne of Micah, and Saphan the scrybe, and Asaia a seruaunt of the kynges, saying:
2Chr.34.21	go Ꟶ enquire of the Lorde for me and for them that are left in Israel and Iuda, concerning the wordes of the boke that is found. For great is the wrath of the Lorde that is fallen vpon vs, because oure fathers haue not kepte the worde of the Lord, to do after all that is wrytten in this boke.
2Chr.34.22	And Helkia and they that the kynge had appoynted, went to Hulda a prophetisse the wyfe of Sallum the sonne of Tokhath the sonne of Hasra keper of the wardrope (for she dwelt in Ierusalem with in the second wall) and so they communed with her.
2Chr.34.23	She answered them: thus sayth the Lorde God of Israel: tell ye the man that sent you to me.
2Chr.34.24	Euen thus sayth the Lord: Behold, I wyll bryng euell vpon this place, Ꟶ vpon the enhabiters therof (euen all the cursses that are wrytten in the boke which they haue reade before the kyng of Iuda)
2Chr.34.25	because they haue forsaken me, and haue offered vnto other Gods, to angre me wt all maner worckes of theyr handes, therfore is my wrath set on fyre agaynst thys place and shall not be quenched.
2Chr.34.26	And as for the kyng of Iuda whych sent you to enquire of the Lorde, so shall ye saye vnto him: thus sayth the Lord God of Israel concernyng the wordes which thou hast heard.
2Chr.34.27	Because thyne hert dyd melt, Ꟶ thou dydest meke thy self before God, when thou heardest his wordes agaynst this place Ꟶ agaynst the enhabiters therof: Ꟶ humbledest thy selfe before me, and tarest thy clothes, and weptest before me, that haue I hearde also sayth the Lord.
2Chr.34.28	Behold, I wyll take the to thy fathers, and thou shalt be put in thy graue in peace, and thyne eyes shall not se all the myschefe that I wyll bryng vpon thys place, Ꟶ vpon the enhabyters of the same. And they brought the kynge worde agayne.
2Chr.34.29	Then the kynge sent, and gathered to gether all the elders of Iuda and Ierusalem.
2Chr.34.30	And the kyng went vp into the house of the Lorde, and all the men of Iuda, and the enhabiters of Ierusalem, Ꟶ the preastes Ꟶ Leuites and all the people great and smalle: Ꟶ the kyng dyd reade all the wordes of the boke of the couenaunt that was found in the house of the Lorde.
2Chr.34.31	And the kyng stode at hys standyng, Ꟶ made a couenaunt before the Lord, to folowe the Lorde, and to kepe his commaundementes, his wytnesses, and hys statutes, wyth all hys hert Ꟶ wyth all his soule, Ꟶ to fulfyll the wordes of the appoyntment wrytten in the sayde boke.
2Chr.34.32	And he set in theyr rowme all them that were founde in Ierusalem and BenIamin, and the enhabiters of Ierusalem dyd accordyng to the couenaunt of the Lorde God of theyr fathers.
2Chr.34.33	And Iosia put awaye all maner of abhominacyons out of all landes that pertayned to the chyldren of Israell, and brought in all that were found in Israel, to worshyp, and to serue the Lorde theyr God. And they turned not a syde from after the Lorde God of theyr fathers, as longe as he lyued.
2Chr.35.1	And Iosia helde the feast of passeouer vnto the Lord in Ierusalem, Ꟶ they slue passeouer in the fourtene daye of the first moneth.
2Chr.35.2	And he set the preastes in theyr offyces, and ayded them in the seruice of the house of the Lorde.
2Chr.35.3	And he sayde vnto the Leuytes (that taught all Israel, and were sanctifyed vnto the Lord) put the holy arcke in the house whych Salomon the sonne of Dauid kyng of Israel, dyd buyld, there shall no other burthen be layd vpon youre shoulders: But now serue the Lorde youre God and hys people Israel.
2Chr.35.4	And prepare yourselues by youre auncient housholdes and companies, accordynge to the wrytynge of Dauid kyng of Israel, and the wrytyng of Salomon his sonne.
2Chr.35.5	And stande in the holy place accordynge to the deuisyon of the auncient housholdes of youre brethren the chyldren of the people, Ꟶ after the deuisyon of the auncient housholdes of the Leuites,
2Chr.35.6	kyll passeouer, Ꟶ sanctifye and prepare youre brethren, that they may do accordyng to the word of the Lorde by the hande of Moses.
2Chr.35.7	And Iosia gaue to the people flockes of shepe and kyddes, all for passeouer and for all that were present, thyrtie thousand by tale, and thre thousande oxen, and these were euen of the kynges substaunce.
2Chr.35.8	And hys Lordes gaue willynglye both vnto the people Ꟶ to the preastes, Ꟶ vnto the Leuytes. Helkia also, zacharia and Iehiel, rulers of the house of God, gaue vnto the preastes for passeouer offerynges two thousand and syxe hundred shepe, and thre hundred oxen.
2Chr.35.9	Conama Ꟶ Semeiahu and Nethanel his brethren, and Hasabiahu and Iaiel and Iosabad, rulers of the Leuites, gaue vnto the Leuites Passeouer offerynges, euen fyue thousand shepe, Ꟶ fyue hundred oxen.
2Chr.35.10	And so the seruice was prepared, and the preastes stode in theyr places, and the Leuites in theyr distincte companies at the kynges commaundment.
2Chr.35.11	And they slue Passeouer, and the preastes sprinckled the bloude with theyr hande, Ꟶ the Leuites pulled of the skynnes of the beastes.
2Chr.35.12	And they fett awaye the burntofferinges, to geue them vnto the people that were deuyded by auncient houses, Ꟶ that they shulde offer vnto the Lorde, lyke as it is wrytten in the boke of Moses. And so dyd they wyth the oxen also.
2Chr.35.13	And they dressed the Passeouer wyth fyre as the maner was. And the other dedycat beastes: sodde they in pottes, caulderns Ꟶ pannes, and deuyded them among all the people.
2Chr.35.14	And afterwarde, they made readye for them selues Ꟶ for the preastes: for the chyldren of Aaron were busyed in offeryng of burntofferynges and the fatt vntyll nyght: therfore the Leuites prepared for them selues and for the preastes the sonnes of Aaron.
2Chr.35.15	And the syngers, the chyldren of Asaph stode in theyr standynge accordyng to the commaundement of Dauid and Asaph, Heman Ieduthum the kynges sear: and the porters wayted at euery gate, and myght not departe from theyr seruice: for theyr brethren the Leuites prepared for them.
2Chr.35.16	And so all the seruice of the Lorde was prepared the same daye, to offer Passeouer, and to offer burntoffrynges vpon the aulter of the Lord accordynge to the commaundement of kyng Iosia.
2Chr.35.17	And so the chyldren of Israel that were present, offered Passeouer the same tyme, and kepte the feast of swete breade seuen dayes.
2Chr.35.18	And ther was no Passeouer lyke to that kepte in Israel from the dayes of Samuel the prophete: nether dyd all the kynges of Israel hold soch a Passeouer feast as dyd Iosia and the preastes and Leuites and all Iuda, and Israel that were present, and the enhabiters of Ierusalem.
2Chr.35.19	This Passeouer was holden in the eyghtene yere of the raygne of Iosia.
2Chr.35.20	After all thys, when Iosia had prepared the temple, Necho kyng of Egypt came vp to fyght agaynst Carcamis besyde Euphrates, and Iosia went out agaynst hym:
2Chr.35.21	whych sent messengers to hym, Ꟶ sayd: what haue I to do wyth the thou kynge of Iuda? Be not thou agaynst thy self this daye: For my warre is agaynst another house, Ꟶ God bade me make hast. Leaue of therfore Ꟶ medle not with God whych is wyth me, least he destroye the.
2Chr.35.22	Neuerthelesse, Iosia wolde not turne hys face from hym, but rather toke aduyse to fyght with him, and herkened not vnto the wordes of Necho out of the mouth of God, and came to fyght in the valeye of Magedo,
2Chr.35.23	Ꟶ the shoters shott dartes at kyng Iosia. And the kyng sayd to his seruauntes: carye me awaye, for I am sore wounded.
2Chr.35.24	His seruauntes therfore had him out of that charet, and put him in another charet that they had. And whan they had brought him to Ierusalem, he dyed, and was buryed in the sepulchre of his fathers. And all Iuda and Ierusalem mourned for Iosia.
2Chr.35.25	And Ieremia lamented Iosia, and all syngynge men and synginge wemen mourned for Iosia in their lamentacions, to thys daye, and made the same lamentacions an ordinaunce in Israel, Ꟶ behold, they be wryten in the lamentacions.
2Chr.35.26	The rest of the actes of Iosia Ꟶ hys goodnes which he dyd in folowynge the wryting in the lawe,
2Chr.35.27	and his sayenges, first and last: behold, they are wryten in the boke of the kynges of Israel and Iuda.
2Chr.36.1	And the people of the land toke Iehoahaz the sonne of Iosia, and made him kynge in his fathers steade in Ierusalem.
2Chr.36.2	And Iehoahaz was thre and twentye yeare olde, when he beganne to raygne, and he raygned thre monethes in Ierusalem.
2Chr.36.3	And the kyng of Egypt put him downe at Ierusalem, ann merced the lande in an hundred talentes of syluer, and a talent of gold.
2Chr.36.4	And the kynge of Egypt made Eliakim his brother king vpon Iuda and Ierusalem, Ꟶ turned hys name vnto Iehoakim: and Necho toke Iehoahaz hys brother, and caried hym to Egipt.
2Chr.36.5	Iehoakim was fyue and twenty yeare olde, when he began to raygne, and he raygned eleuen yeare in Ierusalem: and he dyd euyll in the sight of the Lorde his God.
2Chr.36.6	Agaynst him then came vp Nabuchodonosor king of Babylon, and bounde hym with two chaynes, to carye him to Babilon.
2Chr.36.7	The king Nabuchodonosor also caried of the vessels of the house of the Lorde to Babilon, Ꟶ and put them in his temple at Babilon.
2Chr.36.8	The rest of the actes of Iehoakim, and his abhominacions which he did, and carued ymages that were layde to hys charge, beholde, they are writen in the booke of the kynges of Israell: and Iehoacin his sonne raygned in hys steade.
2Chr.36.9	Iehoacin was eyght yeare olde whan he beganne to raygne, and he raygned thre monethes and ten dayes in Ierusalem: and dyd euelll in the sight of the Lorde:
2Chr.36.10	And when the yeare was out, kynge Nabuchodonosor sent, and let him to Babilon with the goodly vessels of the house of the Lord, and made zedekia (his fathers brother) kynge ouer Iuda and Ierusalem.
2Chr.36.11	zedekia was one and twenty yere olde, when he beganne to raygne, Ꟶ raygned eleuen yere in Ierusalem.
2Chr.36.12	And he dyd euell in the syght of the Lorde hys God, and humbled not him selfe before Ieremia the prophete at the mouth of the Lorde.
2Chr.36.13	And he rebelled agaynst Nabuchodonosor, which had receaued an oth of hym by God. But he was stifnecked, and to harde herted to turne vnto the Lorde God of Israell.
2Chr.36.14	Moreouer, all the rulers, the prestes, Ꟶ the people trespaced more synnyng after all maner of abhominacyons of the heathen, and poluted the house of the Lord, which he had halowed in Ierusalem.
2Chr.36.15	And the Lord God of their fathers sent to them, by hys messengers, risyng vp by tymes and sendynge: for he had compassyon on hys people, and on his dwellyng place.
2Chr.36.16	But they mocked the messengers of God, Ꟶ despised his wordes, and mysse vsed hys prophetes, vntyll the wrath of the Lord arose agaynst his people, and tyll there was no remedy.
2Chr.36.17	And so he brought vpon them the kyng of Caldeye, which slue their yong men with the swearde in their holy temple, and spared nether yonge man, mayden, olde man, ner hym that stowped for age. He gaue them all into his hande.
2Chr.36.18	And all the vessels of the house of God, (both great and small) and the treasures of the house of the Lorde, and the treasures of the kynge, and of hys Lordes: all these caried he to Babilon.
2Chr.36.19	And they burnt the house of God and brake downe the wall of Ierusalem and burnt all the places therof with fyre, and destroyed all the goodly Iewles therof.
2Chr.36.20	And the rest that had escaped the sweard, caryed he to Babylon, where they were bound to him and his chyldren, vntyll the tyme that Persia had the empire.
2Chr.36.21	To fulfyll the word of the Lord by the mouth of Ieremia, vntyll the lande had her pleasure of her Sabbothes: for as longe as she laye desolate, she kept Saboth, vntyll seuenty yeares were fulfylled.
2Chr.36.22	And the first yeare of Cyrus kynge of Persia (whan the worde of the Lorde spoken by the mouth of Ieremia, was fynisshed) the Lord stered vp the sprete of Cyrus kyng of Persia, that he made a proclamacion thorow out all his kyngdome, and that by writynge, sayeng:
2Chr.36.23	Thus sayeth Cyrus kyng of Persia: all the kyngdomes of the earth hath the Lord God of heauen geuen me, and hath charged me to buylde him an house in Ierusalem, that is in Iuda. Wherfore, whosoeuer is amonge you of all hys people, the Lorde his God be with hym, and lett hym go vp.
2Chr.0.0	¶ The ende of the second booke of the Chronicles.
