Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.30.23	Take vnto the principall spices: of the most pure myrre fyue hundred sicles, of swete cynamon halfe so moche, euen two hundred and fyftie sycles:
Exod.30.24	of swete calamus, two hundred and fyftye. Of cassia, two hundred and fyftye, after the holy sycle, and of oyle olyfe an hin.
Exod.30.25	And thou shalt make of the oyle an holy oyntment, euen an oyntment compounde after the crafte of the apoticarye.
Exod.30.26	And thou shalt noynte the tabernacle of witnes therwith, and the arck of witnes,
Exod.30.27	and the table, and all his apparell: and the candelstick, and all his apparell: and the aulter of incense,
Exod.30.28	and the aulter of burntsacrifice with all his vessels, Ꟶ the lauer and his fote.
Exod.30.29	And thou shalt sanctifye them, that they maye be most holy: so that no man touche them, but they that be halowed.
Exod.30.30	And thou shalt anoynte Aaron and his sonnes, and consecrate them, that they maye mynistre vnto me.
Exod.30.31	And thou shalt speake vnto the children of Israel, sayinge: thys shalbe an holy oyntyng oyle vnto me, thorowout youre generacyons.
Exod.30.32	Upon mannes fleshe shall it not be powred: neyther shall ye make any other after the makynge of it, for yt is holye: and shalbe holye vnto you:
Exod.30.33	whosoeuer maketh lyke that, or whosoeuer putteth anye of it vpon a straunger, shall perysh from among hys people.
Exod.30.34	And the Lorde sayde vnto Moses: take vnto the swete spices: balme, Onycha, swete galbanum, these spices with pure franckincense, of eache lyke moch:
Exod.30.35	and make of them swete smellyng incense, after the craft of the apoticarye, myngled together, pure and holy.
Exod.30.36	And beate it to powdre and put of it before the witnes in the tabernacle of witnes, where I wyll mete the.
Exod.30.37	It shalbe vnto you most holy. And se that ye make none after the makyng of that, It shalbe vnto you holy for the Lorde.
Exod.30.38	Whosoeuer shall make like vnto that, to smell therto, shall perysh from amonge hys people.
Exod.31.1	And the Lorde spake vnto Moses, sayinge:
Exod.31.2	beholde, I haue called by name, Bezaleel the sonne of Ury, the sonne of Hur of the trybe of Iuda.
Exod.31.3	And I haue fylled hym wt sprete of God, in wysdome, Ꟶ vnderstandynge, in knowledge Ꟶ in all maner worke,
Exod.31.4	to fynd out sotle feates, Ꟶ to worke in golde, syluer Ꟶ brasse:
Exod.31.5	and in the crafte to sett stones, and to carue in timbre, and to worke in all maner workmanshyp.
Exod.31.6	And beholde, I haue geuen hym to be his companion Ahaliab the sonne of Ahisamach of the trybe of Dan, and in the hertes of all that are wyse harted, I haue putt wysdome, to make all that I haue commaunded the,
Exod.31.7	the tabernacle of witnes, the arck of witnes, and the mercy seate that is therupon: and all the ornamentes of the tabernacle,
Exod.31.8	and the table and his ornamentes: and the pure candelstick with all his apparell, and the aulter of incens:
Exod.31.9	and the aulter of burntofferinges and all hys vesselles, and the lauer with his fote.
Exod.31.10	The vestimentes to ministre in, and the holye garmentes for Aaron the preaste, and the garmentes of his sonnes to ministre in,
Exod.31.11	and the anoyntyng oyle: and swete cense for the sanctuary, according to all that I haue commaunded the shall they do.
Exod.31.12	And the Lorde spake vnto Moses, saying:
Exod.31.13	Speake vnto the children of Israel and saye: In any wise se that ye kepe my Sabbathes: for it is a signe betwene me and you in your generacions, for to knowe that I the Lorde am he that doth sanctify you.
Exod.31.14	Kepe my Sabbath therfore: for it is holy vnto you. He that defyleth it, shalbe slayne. For whosoeuer worketh therin, the same soule shalbe roted oute from amonge hys people.
Exod.31.15	Syxe dayes shall men worcke. And in the seuenth daye is the Sabboth of the holye rest of the Lorde. Whosoeuer doth any worcke in the Sabboth daye, shall dye:
Exod.31.16	wherfore lett the children of Israel kepe the Sabboth, that they obserue it thorowout theyr generacions, that it be an appoyntment for euer.
Exod.31.17	For it is a signe betwene me and the chyldren of Israel for euer. For in syxe dayes the Lorde made heauen and earth: and in the seuenth daye he rested, and was refresshed.
Exod.31.18	And when the Lorde had made an ende of comening with Moses vpon the mounte Sinai, he gaue him two tables of witnes: euen tables of stone, wrytten with the fynger of God.
Exod.32.1	And when the people sawe, that yt was longe or Moses came downe out of the mountayne, they gathred them selues together vnto Aaron, and sayd vnto hym: Up, make vs goddes to go before vs: for of this Moses (the felowe that brought vs out of the lande of Egypt) we wote not what is become.
Exod.32.2	And Aaron sayde vnto them: plucke of the golden earynges which are in the eares of your wyues, your sonnes, and of your daughters: and bryng them vnto me.
Exod.32.3	And all the people plucked of the golden earynges, which they had in theyr eares, Ꟶ brought them vnto Aaron.
Exod.32.4	And he receaued them of their handes, and fassyoned it with a grauer, and made of it a calfe of molten metall. And they sayde: These be thy goddes, O Israel, which brought the oute of the lande of Egipt.
Exod.32.5	And when Aaron sawe that, he made an aultare before it. And Aaron cryed, sayinge: to morowe is the holy daye of the Lorde.
Exod.32.6	And they rose vp in the mornyng, Ꟶ offred burntofferinges, and brought peace offeringes also. And the people sat them downe to eate and dryncke, and rose vp agayne to playe.
Exod.32.7	And the Lorde sayd vnto Moses: go, get the downe: thy people which thou broughtest out of the lande of Egipt,
Exod.32.8	haue marred all, they are turned at once out of the waye, which I commaunded them: for they haue made them a calfe of molten metall, and haue worshypped it, and haue offered thereto, sayinge: These be thy goddes, O Israel, which hath brought the oute of the lande of Egipt.
Exod.32.9	And the Lorde sayde sayd vnto Moses: I haue sene this people: and beholde, it is a styffnecked people,
Exod.32.10	and nowe suffre me, that my wrath may waxe hote agaynst them, and consume them: and I wyll make of the a mightye people.
Exod.32.11	And Moses besought the Lord his God, and sayde: O Lorde, why doeth thy wrath waxe hote agaynst thy people, which thou hast brought oute of the lande of Egipte, wt greate power and with a mightye hande?
Exod.32.12	wherfore shulde the Egipcyans speake and saye: For a myschefe dyd he bryng them out euen for to sley them in the mountaynes, and to consume them from the face of the earth? Turne from thy fearce wrath, and turne from thys euell (deuysed) agaynst thy people.
Exod.32.13	Remembre Abraham, Isaac and Israel thy seruauntes, to whom thou swareste by thyne awne selfe, and saydeste vnto them: I wyll multiplye your seede as the starres of heuen, and all this lande that I haue spoken of, wyll I geue vnto your seed: and they shall enheret it for euer.
Exod.32.14	And the Lord refrayned him selfe from that euell which he sayd he wolde do vnto hys people.
Exod.32.15	And Moses turned hys backe, and went downe from the hyll, and the two tables of witnesse were in hys hande: and the same tables were written on both the leaues,
Exod.32.16	and were the worcke of God, and the wrytynge was the wrytyng of God grauen in the tables.
Exod.32.17	And when Iosua hearde the noyse of the people, as they showted, he sayde vnto Moses: there is a noyse of warre in the host.
Exod.32.18	And he answered: it is not the crye of them that haue the mastry, nor of them that haue the worse: but I do heare the noyes of them that synge.
Exod.32.19	And it fortuned, assoone as he came nye vnto the hooste, he sawe the calfe and the daunsynge, and Moses wrath waxed hote, and he cast the tables out of his handes, and brake them beneth the hyll.
Exod.32.20	And he toke the calfe which they had made, and burned it in the fyer, and stampte it vnto powder, and strawed it in the water, and made the chyldren of Israel dryncke of it.
Exod.32.21	And Moses sayde vnto Aaron: what dyd thys people vnto the, that thou hast brought so greate a synne vpon them?
Exod.32.22	And Aaron answered: let not the wrath of my Lorde waxe fearce, thou knowest the people that they are euen sett on myschefe:
Exod.32.23	For they sayde vnto me: make vs goddes to go before vs, for we wote not what is become of Moses, the felowe that brought vs out of the lande of Egipte.
Exod.32.24	And I sayd vnto them: let them that haue golde pluck it of, and bring it me: and I cast it into the fier: and therof came out thys calfe.
Exod.32.25	Moses therfore sawe that the people were naked (and that Aaron had made them naked vnto theyr shame amonge theyr enemyes)
Exod.32.26	and he went and stode in the gate of the hoste, and sayde: If any man pertayne vnto the Lorde, let him come to me. And all the sonnes of Leui gathered them selues together,
Exod.32.27	Ꟶ came vnto him. And he sayde vnto them: Thus saith the Lorde God of Israel: put euery man his sweard by his syde, Ꟶ go in and out, from gate to gate thorowout the hooste: and sleye euery man, his brother and euery man hys companyon, and euery man hys neyghboure.
Exod.32.28	And the chyldren of Leui dyd as Moses had sayde. And there fell of the people the same daye about .iij.M. men.
Exod.32.29	And Moses sayde: fyll your handes vnto the Lorde this daye, euery man vpon hys sonne and vpon his brother and that ther maye be geuen you a blessing this daye.
Exod.32.30	And on the morowe it fortuned that Moses sayde vnto the people: Ye haue synned a great synne. And nowe I wyll go vp vnto the Lorde: yf paraduenture I maye purchace an atonement for your synne.
Exod.32.31	Moses therfore went agayne vnto the Lorde, Ꟶ sayde: Oh, thys people haue synned a greate synne and haue made them goddes of golde.
Exod.32.32	And nowe I praye the, eyther forgeue them their synne: or (yf thou wilt not) wipe me out of thy booke, which thou hast wrytten.
Exod.32.33	And the Lorde sayd vnto Moses: I will put hym out of my booke that hath synned agaynst me.
Exod.32.34	And nowe go thou, brynge the people vnto the place which I sayde vnto the: beholde, myne angell shall go before the. Neuerthelater in the daye when I vyset, I wyll vyset their synne vpon them.
Exod.32.35	And the Lorde plaged the people, because they made the calfe which Aaron made.
Exod.33.1	And the Lorde sayde vnto Moses: departe, and go hence: thou and the people, which thou hast brought out of the lande of Egypte, vnto the land which I sware vnto Abraham. Isahac and Iacob, sayinge: vnto thy seed will I geue it
Exod.33.2	(and I wyll sende an angel before the: and wyll cast out the Cananites, the Amorites and the Hethites, the Pherezites, the Heuites, and the Iebusites)
Exod.33.3	a lande that floweth with mylke and honye. For I wyll not go amonge you my selfe: for ye are a styffnecked people: lest I consume the in the waye.
Exod.33.4	And when the people heard this euell tidynges, they sorowed: and no man did put on hys best rayment.
Exod.33.5	And the Lorde spake vnto Moses: saye vnto the children of Israel: ye are a styfnecked people: I must come once sodenly vpon you, Ꟶ make an ende of you. Therfore nowe put thy goodly rayment from the, that I maye wete what to do vnto the.
Exod.33.6	And the chyldren of Israel layde their goodly rayment from them, euen by the mount Horeb.
Exod.33.7	And Moses toke the tabernacle, and pitched it withoute the hooste a farre of from the hoost: and called it the tabernacle of witnes. And so it came to passe, that euery one which wolde praye vnto the Lorde, wente out vnto the tabernacle of wytnesse, which was without the hooste.
Exod.33.8	And it fortuned, that when Moses went out vnto the tabernacle, all the people rose vp: and stode euery man at his tente dore: and loked after Moses, vntyll he was gone into the tabernacle.
Exod.33.9	And assoone as Moses was entred into the tabernacle, the clowdy piller descended, and stode at the doore of the tabernacle, and he talked with Moses.
Exod.33.10	And all the people saw the clowdy pyller stande at the tabernacles dore, and they rose vp, and worshipped euery man in his tente dore.
Exod.33.11	And the Lord spake vnto Moses face to face, as a man speaketh vnto his frende: and he turned agayne into the hoost. And the chylde Iosua hys seruaunte the sonne of Num, departed not oute of the tabernacle:
Exod.33.12	And Moses sayde vnto the Lorde: se, thou sayest vnto me: leade this people forth, and thou hast not shewed me whom thou wylte sende with me. And thou hast sayde moreouer: I knowe the by name, and thou hast also founde grace in my syght.
Exod.33.13	Nowe therfore yf I haue founde fauoure in thy syght, then shewe me thy waye, that I maye knowe the, and that I maye fynde grace in thy syghte. And consyder also, that thys nacyon is thy people.
Exod.33.14	And he sayde: my presence shall go with the: and I wyll geue the rest.
Exod.33.15	He sayde vnto hym: Yf thy presence go not with me, carye vs not hence:
Exod.33.16	for howe shall it be knowen here, that I and thy people haue founde fauoure in thy syght, but in that thou goest wt vs? Yf thou go with vs, shall not I and thy people haue preemynence before all the people that are vpon the face of the earth?
Exod.33.17	And the Lorde sayde vnto Moses: I will do this also that thou hast sayde, for thou hast founde grace in my syghte, and I knowe the by name.
Exod.33.18	And he sayde: I besech the, shewe me thy glorye.
Exod.33.19	And he sayde: I wyll make all my good go before the, and I wyll be called in this name of the Lorde before the and will shewe mercy to whom I wyll shewe mercye, and wyll haue compassyon on whom I wyll haue compassion.
Exod.33.20	And he sayd furthermore: thou mayst not se my face: for there shall no man se me, and lyue.
Exod.33.21	And the Lorde sayde: beholde, there is a place by me, Ꟶ thou shalt stonde vpon a rock:
Exod.33.22	and whyle my glory goeth forth, I will put the in a clyft of the rock: and wyll put myne hande vpon the, whyle I passe by.
Exod.33.23	And I wyll take awaye myne hande, Ꟶ thou shalt se my back partes: but my face shall not be sene.
Exod.34.1	And the Lorde sayde vnto Moses: hewe the two tables of stone lyke vnto the fyrst, and I will write vpon them the wordes that were in the first tables which thou brakest.
Exod.34.2	And be ready in the mornynge, that thou mayest come vp early vnto the mount of Sinai: and stand there with me in the top of the mount.
Exod.34.3	There shall no man come vp wt the, neyther let any man be sene thorowout all the mount, neyther let shepe nor oxen fede before the hyll.
Exod.34.4	And Moses hewed two tables of stone lyke vnto the fyrst, and rose vp early in the mornynge, and went vp vnto the mount of Sinai, as the Lorde had commaunded hym: and toke in his hande the two tables of stone.
Exod.34.5	And the Lorde descended in the clowde, and stode with hym there: and he called vpon the name of the Lorde.
Exod.34.6	And when the Lord walked before him, he cryed, Lorde Lorde God, mercyfull and gracyous, long suffering, Ꟶ aboundaunt in goodnes Ꟶ trueth,
Exod.34.7	Ꟶ kepyng mercye in store for thousandes, forgeuynge wikednes, vngodlynes Ꟶ synne, Ꟶ not leauynge one innocent, visytynge the wyckednes of the fathers vpon the children and vpon childrens children, euen vnto the third and fourth generacyon.
Exod.34.8	And Moses bowed him selfe to the earth quyckly, and worshipped,
Exod.34.9	and sayde: If I haue founde grace in thy syght (O Lorde) then lett my Lorde go wt vs: for it is a stubburne people, and thou shalt haue mercy vpon oure wyckednes and oure synne, and shalt take vs for thyne enheritaunce.
Exod.34.10	He sayde: beholde, I make an appoyntment before all thy people: and I will do maruaylles: soch as haue not bene done in all the worlde, neyther in all nacyons. And all the people amonge which thou art, shall se the worke of the Lorde: for it is a terryble thynge that I wyll do with the:
Exod.34.11	kepe those thinges that I commaunde the thys daye. Behold, I cast out before the the Amorites, Canaanites, Hethites, Pherezites, Heuytes and Iebusites.
Exod.34.12	Take hede to thy selfe, that thou make no compacte with the inhabyters of the lande whether thou goest, lest it be cause of ruyne amonge you.
Exod.34.13	But ouerthrowe their aulters, and breake their ymages, and cut doune their groues.
Exod.34.14	Thou shalt worshyp no straunge God. For the Lorde is called gelous, because he is a gelous God:
Exod.34.15	lest yf thou make any agrement with the inhabiters of the lande, and they goo a whoring after theyr goddes, and do sacrifice vnto theyr goddes, they call the, and thou eate of theyr sacrifice:
Exod.34.16	Ꟶ thou take of their daughters vnto thy sonnes, and theyr daughters go a whoringe after theyr goddes,
Exod.34.17	and make thy sonnes go a whoring after their goddes also. Thou shalt make the no goddes of metall.
Exod.34.18	The feaste of swete bread shalt thou kepe. Seuen dayes thou shalt eate vnleuended bread, as I commaunded the in the tyme of the moneth, when corne begynneth to rype. For in the moneth when corne begynneth to ripe, thou camest out of Egipt.
Exod.34.19	All that breaketh vp the matryce is myne: and all that breaketh the matryce amonge thy catell, yf it be male: whether it be oxe or shepe.
Exod.34.20	But the fyrst of the asse thou shalt bye out wt a lambe. And yf thou redeme hym not, thou shalt breake hys neck. All the fyrst borne of thy sonnes shalt thou redeme. And se that no man appeare before me empty.
Exod.34.21	Syxe dayes thou shalt worke, and in the seuenth daye thou shalt rest, bothe from earyng and reaping.
Exod.34.22	Thou shalt obserue the feast of wekes with thy fyrst frutes of whet heruest, and the feast of in gatherynge at the yeares ende.
Exod.34.23	Thryse in a yeare shall all your mens children appeare before the Lorde Iehoua God of Israel.
Exod.34.24	Whan I cast out the nacions before the, and enlarge thy coastes: so that no man shall desyre thy lande, thou shalt go vp to appeare before the Lorde thy God, thryse in the yeare.
Exod.34.25	Thou shalt not offre the bloude of my sacrifyce vpon leuen, neyther shall ought of the sacrifyce of the feaste of Passeouer be left vnto the mornyng.
Exod.34.26	The fyrst rype frutes of thy lande thou shalt bryng vnto the house of the Lord thy God. And thou shalt not sethe a kydd in hys mothers mylke.
Exod.34.27	And the Lorde sayde vnto Moses: wryte these wordes: for after the tenoure of these wordes I haue made a couenaunt with the and with Israel.
Exod.34.28	And he was there wyth the Lorde fourtye dayes and fourtye nyghtes, and dyd neyther eate bread ner dryncke water. And he wrote vpon the tables the wordes of the couenaunt, euen ten verses.
Exod.34.29	And it fortuned, when Moses came downe from mount Sinai, the two tables of witnes were in Moses hande, when he came downe from the mount. And Moses wyst not that the skynne of his face shone in maner of an horne, whyle he talked with him.
Exod.34.30	And Aaron and all the children of Israel loked vpon Moses: and beholde, the skynne of his face shone, Ꟶ they were afrayed to come nye him.
Exod.34.31	And when he had called them, Aaron Ꟶ all the chefe that were in the company came vnto him, and Moses talked with them.
Exod.34.32	And afterward, all the children of Israel came nye, Ꟶ he commaunded them all that the Lord had sayde vnto hym in mount Sinai.
Exod.34.33	And whan Moses had made an ende of comening with them, he put a coueryng vpon his face.
Exod.34.34	And agayne, whan Moses went in before the Lord to speake wt him, he toke the couering of vntill he came out. And he came out, and spake vnto the children of Israel that which he was commaunded.
Exod.34.35	And the children of Israel sawe the face of Moses, that the skinne of Moses face shone. And Moses put the couering vpon his face agayne, vntill he went in, to comen with him.
Exod.35.1	And Moses gathered all the company of the children of Israel together, and sayd vnto them: these are the wordes which the Lord hath commaunded that ye shulde do them:
Exod.35.2	Sixe dayes ye shall worke: but the seuenth daye shalbe vnto you the holye Sabbath of the Lordes reste: whosoeuer doth any worke therin, shall die.
Exod.35.3	Ye shall kyndle no fier thorowout all youre habitacions vpon the Sabbath daye.
Exod.35.4	And Moses spake vnto all the multitude of the children of Israel saying: this is the thing which the Lorde commaunded, saying:
Exod.35.5	Take from among you an heue offering vnto the Lorde. Whosoeuer is of a willing hert, let him bryng it for the heue offerynge of the Lorde. Namely gold, syluer and brasse,
Exod.35.6	and yelowsilk, purple, scarlet, whyte sylke, goates heerre,
Exod.35.7	and rams skynnes red and taxus skinnes with sethim wod:
Exod.35.8	oyle for light and spices for the anoynting oyle, Ꟶ for the swete cense.
Exod.35.9	And Onix stones and stones to be set in the Ephod and in the brestlappe.
Exod.35.10	And let all them that are wyse harted among you, come and make all that the Lord hath commaunded:
Exod.35.11	the habitacyon with the tent therof and his coueryng, Ꟶ hys rynges, and his bordes, his barres, his pyllers, and his sockettes:
Exod.35.12	the arck and the staues therof, with the mercy seate and the vayle that couereth it:
Exod.35.13	the table and his barres and all his vessels: and the shewebred:
Exod.35.14	the candelstick of lyght and his apparell and his lampes with the oyle for the light:
Exod.35.15	the cens aultar and his barres: the anoynting oyle Ꟶ the swete cens: and the hangyng of the dore at the entryng in of the tabernacle:
Exod.35.16	the aultar of burnt sacrifyce with his brasen grediren, his staues, and all his vessels: the lauer and hys fote:
Exod.35.17	and the hangynges of the court with his pyllers and their sockettes, and the hangyng in the dore of the court:
Exod.35.18	the pynnes of the habitacion and the pynnes of the court wt their coardes:
Exod.35.19	the minystring garmentes to minystre in the holy place: and the holy vestimentes for Aaron the preast, and the vestimentes of his sonnes, that they maye minystre him.
Exod.35.20	And all the companye of the chyldren of Israel departed from the presence of Moses.
Exod.35.21	And euery one came (as many as theyr hertes coraged them, Ꟶ as many as their spretes made them wylling) Ꟶ brought a present for the Lord, to the making of the tabernacle of witnes, and for all his vses, and for the holy vestimentes.
Exod.35.22	And they came both men Ꟶ wemen (euen as many as were willing harted) and brought bracelettes, and earinges, ringes and chaynes, which iewels were all of golde: Ꟶ all the men brought a waue offeryng of golde vnto the Lord.
Exod.35.23	And euery man, with whom was founde yelow sylk, purple, scarlet, whyte sylk, and goates hearre and redd skynnes of rams Ꟶ taxus skynnes, brought them.
Exod.35.24	All that dyd heue vp an oblacyon of golde and brasse, and brought an heue offering vnto the Lorde. And all men with whom was found sethim wod for any maner worke of the ministracyon, brought it.
Exod.35.25	And all the women that were wyse herted dyd spynne with theyr handes, and brought the sponne worke both of yelow sylke, purple, scarlet and whyte sylk.
Exod.35.26	And all the wemen whom their awne hert moued, span goates hearre wisely.
Exod.35.27	And the Lorde brought onix stones, Ꟶ stones to be set in the Ephod, and in the brestlappe,
Exod.35.28	and spyce and oyle for lyght and for the anoynting oyle and for the swete cens.
Exod.35.29	And the children of Israel brought a willyng offeryng vnto the Lorde, both men and wemen: as many as had willing hertes to brynge, for all maner workes which the Lorde had commaunded to be made, by the handes of Moses.
Exod.35.30	And Moses sayde vnto the chyldren of Israel: beholde, the Lorde hath called by name Bezaleel the sonne of Uri the sonne of Hur of the trybe of Iuda,
Exod.35.31	Ꟶ hath fylled hym with the sprete of God, in wisdome and vnderstanding, in knowledge, and in all maner worke,
Exod.35.32	to fynde out curious workes which are made in golde, syluer and brasse.
Exod.35.33	In the crafte of stones to set them: and in caruynge of wodd to make any maner of sotle worke.
Exod.35.34	And he hath put in his harte that he may teache: both he and Aholiab the sonne of Ahisamach of the trybe of Dan.
Exod.35.35	Them hath he fylled with wysdome of herte, to worke all maner of grauen, and sotle, and nedle worke in yelowe sylke, and purple, in scarlet, and whyte sylke, and in weuynge. And to do all maner of worke and sotle feates.
Exod.36.1	And Bezaleel wrought, Ꟶ Aholiab and all wyse harted men, to whom the Lorde gaue wysdome and vnderstandynge, to knowe howe to worcke all maner worke for the seruyce of the Sanctuary, and all that the Lorde had commaunded.
Exod.36.2	And Moses called Bezaleel, Aholiab and all the wyse herted men and soche as the Lorde had geuen wysdome vnto, and as many as theyr hartes coraged to come vnto that worcke to worcke it.
Exod.36.3	And they receaued of Moses all the present, whyche the chyldren of Israell had brought for the worcke of the seruyce of the Sanctuary, to make it. And besyde that they brought giftes vnto it euery daye in the mornynge.
Exod.36.4	And all the wyse men that wrought all the holye worcke, came euery man from hys worcke whyche they made,
Exod.36.5	and spake vnto Moses, sayinge: the people brynge to moche and more then ynough for the seruyce and worcke whyche the Lord hath commaunded to be made.
Exod.36.6	And then Moses gaue a commaundement, and they caused it to be proclaymed thorowe out the hoste sayinge: se that nether man nor woman prepare any moare worcke for the present of the Sanctuary: and so the people were forbydden to bringe:
Exod.36.7	for the stuffe they had, was sufficyent for all the worcke, to make it, and to moche.
Exod.36.8	All the wyse harted men therfore, and they that wroughte for the habitacyon, made ten curtaynes of whyte twyned sylke, yelowe sylke, purple and scarlet: with pictures of broderd worcke made he them.
Exod.36.9	The length of one curtayne was .xxviii. cubytes, and the breadth foure and the curtaynes were all of one syse.
Exod.36.10	And he coulpled fyue curtayns by them selues, and other fyue by them selues.
Exod.36.11	And he made lowpes of yelowe sylke alonge by the edge of one curtayne, euen in the seluege of the couplynge courtayne. And lykewyse he made on the syde of the couplynge curtayne on the other syde.
Exod.36.12	Fyftye lowpes made he in the one curtayne, Ꟶ fyftye in the edge of the couplynge curtayne on the other syde: and the lowpes helde one curtayne to another.
Exod.36.13	And he made fyftye rynges of golde, and coupled the curtaynes one to another wyth the rynges: and so was it made one dwellynge place.
Exod.36.14	And he made .xi. curtaynes of goates herre, to be a tent ouer the tabernacle.
Exod.36.15	The length of a curtayne, had .xxx. cubytes and was foure cubites brode, and they all eleuen of one syse.
Exod.36.16	And he coupled fyue curtaynes by them selues, Ꟶ syxe by them selues,
Exod.36.17	and he made fyftye lowpes alonge by the border of the vtmost couplynge curtayne, and fyftye in the edge of the other couplynge curtayne.
Exod.36.18	And he made fyftye rynges of brasse to couple the tent together, that it myght be one.
Exod.36.19	And he made a couerynge vpon the tent of rammes skynnes redd, and yet another of taxus skinnes aboue that.
Exod.36.20	And he made stondynge bordes (for the tabernacle) of Sethim wodd.
Exod.36.21	The length of a borde was ten cubytes, the breadth one cubyte and a halfe.
Exod.36.22	One borde had two fete, wherby they were ioyned one to another. And thus made he for all the bordes of the Tabernacle.
Exod.36.23	And he made .xx. bordes for the southsyde of the habitacyon,
Exod.36.24	and .xl. sockettes of syluer vnder the .xx. boordes two sockettes vnder one boorde, for his two fete.
Exod.36.25	And for the other syde of the dwelling which is towarde the north, he made twentye boordes,
Exod.36.26	Ꟶ theyr fourtye sockettes of syluer, two sockettes vnder one boorde.
Exod.36.27	And towarde the west ende of the Tabernacle. He made syxe boordes,
Exod.36.28	and two other bordes made he in the corners of the habitacyon for eyther syde,
Exod.36.29	and they were ioyned closse beneth and aboue with a clampe, and thus they dyd to both the corners.
Exod.36.30	And there were eyght boordes Ꟶ syxtene sockettes, of syluer, vnder euery borde two sockettes.
Exod.36.31	And he made barres of Sethim wodd fyue for the bordes of the Tabernacle in the one syde:
Exod.36.32	and fyue for the bordes of the Tabernacle in the other syde, and fyue barres for the boordes of the habitacyon in the west ende.
Exod.36.33	And he made the myddest barre to shote thorowe the bordes: euen from the one ende to the other,
Exod.36.34	and ouerlayde the boordes wyth golde, and made rynges of golde to thrust the barres thorowe, and couered the barres wyth golde.
Exod.36.35	And he made an hangyng of yelow sylke, purple, scarlet and whyte twyned sylke, euen with pyctures made he it of broderd worcke.
Exod.36.36	And made ther vnto foure pillers of Sethim wodd, and ouerlayde them with golde. Theyr knoppes were also of golde, and he cast for them foure sockettes of syluer.
Exod.36.37	And he made an hangynge for the tabernacle dore: of yelowe sylke, purple, scarlet and whyte twyned sylke of nedle worcke.
Exod.36.38	And the fyue pylers of it with theyr knoppes, Ꟶ ouerlayde the knoppes of them Ꟶ the whopes wyth golde. Their fyue sockettes also were of brasse.
Exod.37.1	And Bezaleel made the arke of Sethim wodd, two cubites and an halfe long, and a cubite and a halfe brode, and a cubite and a halfe hye:
Exod.37.2	and ouerlayde it with fyne golde within and without, and made a crowne of golde to it rounde aboute,
Exod.37.3	and cast for it foure rynges of golde for the foure corners of it: two rynges for the one syde, and two for the other,
Exod.37.4	and made barres of Sethim wodd, and couered them with golde,
Exod.37.5	and put the barres in the rynges a longe by the syde of the arke, to bere it with all.
Exod.37.6	And he made the mercy seate. of pure gold: two cubytes and a halfe was the length therof, and one cubyte and a halfe the breadth:
Exod.37.7	Ꟶ he made two Cherubyns of thycke golde vpon the two endes of the merciseate.
Exod.37.8	One Cherub on the one ende, and another Cherub on the other ende.
Exod.37.9	Euen of the mercyseate made he the Cherubins: namely, in the endes therof. And the Cherubynes spred oute theyr wynges aboue an hie, and couered the mercyseate therwith. And theyr faces were one to another: euen to the mercyseate warde, were the faces of the Cherubyns.
Exod.37.10	And he made the table of Sethim wodd two cubytes was the length therof and a cubyte the breadth, and a cubyte and a halfe the heygth of it.
Exod.37.11	And he ouerlayde it with fyne golde, and made therto a crowne of golde rounde aboute,
Exod.37.12	and made therto an whope of an hande breade, rounde aboute and made vpon the whope a crowne of golde rounde aboute,
Exod.37.13	and cast for it foure rynges of golde, and put the rynges in the foure corners that were in the foure fete therof.
Exod.37.14	Euen harde by the whope were the rynges, into the whiche the barres were put, to bere the table withall.
Exod.37.15	And he made the barres of Sethim wodd, Ꟶ couered them with gold to bere the table withall,
Exod.37.16	and made the vessels (for the table) of pure golde: the disshes, spones, flat peces and pottes to powre withall.
Exod.37.17	And he made the candelstycke of pure golde: euen of one pece made he the candelstycke. For hys fote, hys shafte, hys cuppes, his knoppes and hys floures were of one pece.
Exod.37.18	Syxe braunches proceding out of the sydes therof, thre out of the one side, and thre out of the other.
Exod.37.19	And in one braunche thre cuppes made lyke vnto almondes wyth knoppes Ꟶ floures: and in another braunche thre cuppes made lyke almondes with knoppes and floures. And so thorowe out the syxe braunches that proceded out of the candelstycke.
Exod.37.20	And vpon the canndelstick self were .iiij. cuppes after the facyon of almondes wyth knoppes Ꟶ floures:
Exod.37.21	vnder euery two braunches a knoppe.
Exod.37.22	And the knoppes and the braunches proceded out of it, and it was all one pece of pure thycke golde.
Exod.37.23	And he made hys seuen lampes with the tonges and snoffers therof, of pure golde.
Exod.37.24	Euen of an hundred weyght of pure golde, made he it with all the vessels therof.
Exod.37.25	And he made the cens alter of Sethim wood. The length of it was a cubyte, Ꟶ the breadth a cubite, for it was, foure square Ꟶ two cubytes hye, with hornes proceding out of it.
Exod.37.26	And he couered it with pure golde, both the toppe and the sydes therof rounde about,
Exod.37.27	and the hornes of it, Ꟶ made vnto it a crowne of golde rounde about. And he made two rynges of golde for it, euen vnder the croune therof in the two corners of it and in the two sydes therof to put barres in, for to bere it withall:
Exod.37.28	Ꟶ made the barres of Sethim wodd and ouerlayde them with gold.
Exod.37.29	And he made the holy anoyntinge oyle, and the swete pure incens after the apotecaryes crafte.
