Luke.0.0	¶ The Gospell of S. Luke.
Luke.22.37	For I saye vnto you, that yet the same whych is wrytten, must be performed in me: euen among the wycked was he reputed. For those thynges whych are wrytten of me, haue an ende.
Luke.22.38	And they sayde: Lorde, beholde, here are two sweardes. And he sayde vnto them: it is ynough.
Luke.22.39	And he came out, and went (as he was wonte) to mounte Olyuete. And the discyples folowed hym.
Luke.22.40	And when he came to the place, he sayd vnto them: praye, lest ye fall into temptacyon.
Luke.22.41	And he gate hym selfe from them, about a stones cast, and kneled downe, and prayed,
Luke.22.42	saying: Father, yf thou wylt, remoue thys cup from me. Neuerthelesse, not my wyll, but thyne be fulfylled.
Luke.22.43	And ther appeared an angell vnto hym from heauen, confortynge hym.
Luke.22.44	And he was in an agoyne, and prayed the longer. And hys sweate was lyke droppes of bloud, trycklynge downe to the grounde.
Luke.22.45	And whan he rose vp from prayer and was come to hys discyples, he founde them slepynge for heuynesse,
Luke.22.46	and sayde vnto them: why slepe ye? Ryse, and praye, lest ye fall into temptacyon.
Luke.22.47	Whyll he yet spake: beholde, ther came a company, and he that was called Iudas one of the twelue, went before them, and preased nye vnto Iesus, to kysse hym.
Luke.22.48	But Iesus sayde vnto hym: Iudas, betrayest thou the sonne of man wyth a kysse?
Luke.22.49	When they which were about hym, sawe what wolde folow, they sayde vnto him: Lorde, shall we smyte with swearde.
Luke.22.50	And one of them smote a seruaunt of the hye preste, Ꟶ stroke of his ryght eare.
Luke.22.51	Iesus answered Ꟶ sayde: suffre ye thus farre forth. And whan he touched hys eare he healed hym.
Luke.22.52	Then Iesus sayde vnto the hye prestes and rulers of the temple and the elders, whych were come to hym. Ye be come out, as vnto a thefe, wyth sweardes and staues.
Luke.22.53	When I was dayly wyth you in the temple, ye stretched forth no handes agaynst me. But thys is euen youre very houre, and the power of darcknes.
Luke.22.54	Then toke they hym, and ledde hym, and brought hym to the hye Preastes house. But Peter folowed a farre of
Luke.22.55	And when they had kyndled a fyre in the myddes of the palace, and were set downe together. Peter also sate downe amonge them.
Luke.22.56	But whan one of the wenches behelde hym, as he sate by the fyer (and loked vp on hym) she sayde: thys same felow was also wyth hym.
Luke.22.57	And he denyed hym, saying: woman: I knowe hym not.
Luke.22.58	And after a lytell whyle, another sawe hym, and sayd, thou art also of them. And Peter sayd: man I am not.
Luke.22.59	And about the space of an houre after, another affyrmed, sayinge: verely thys felowe was wyth hym also, for he is of Galile.
Luke.22.60	And Peter sayde: man I wote not what thou sayest. And immediatly whyll he yet spake, the cocke crew.
Luke.22.61	And the Lorde tourned backe, and loked vpon Peter. And Peter remembred the worde of the Lord, how he had sayd vnto hym: before the cocke crowe, thou shalt deuye me thryse.
Luke.22.62	And Peter went out, and wepte byttrely.
Luke.22.63	And the men that toke Iesus, mocked him, and smote him:
Luke.22.64	and whan they had blyndfolded him, they stroke hym on the face, Ꟶ asked hym, saying: arede, who is it that smote the?
Luke.22.65	And many other thynges despytfullye sayd they agaynst hym.
Luke.22.66	And assone as it was daye, the elders of the people and the hye Prestes and Scrybes, came together, and ledde hym into their councell, sayinge:
Luke.22.67	art thou very Chryst? tell vs. And he sayde vnto them: yf I tell you, ye wyll not beleue.
Luke.22.68	And yf I aske you, ye wyll not answere me, nor let me go:
Luke.22.69	Her after shall the sonne of man syt on the ryght hand of the power of God.
Luke.22.70	Then sayde they all: art thou then the sonne of God? He sayd: ye saye that I am.
Luke.22.71	And they sayde: what nede we eny further wytnes? For we oure selues haue herde of hys awne mouth.
Luke.23.1	And the whole multitude of them arose, and led hym vnto Pylate.
Luke.23.2	And they beganne to accuse him, sayinge: we founde thys felowe peruertinge the people, and forbyddynge to paye tribute to Cesar: sayinge, that he is Chryst a kynge.
Luke.23.3	And Pylate apposed him, sayinge: art thou the kynge of the Iewes? He answered hym, and sayde: thou sayest it.
Luke.23.4	Then sayde Pylate to the hye Prestes, and to the people: I fynde no faute in this man.
Luke.23.5	And they were the more fearce, sayinge: He moueth the people, teachyng thorow out all Iewry, and beganne at Galile, euen to thys place.
Luke.23.6	When Pylate hearde mencyon of Galile, he asked, whether the man were of Galile.
Luke.23.7	And assone as he knewe that he belonged vnto Herodes iurisdiccyon, he sent him to Herode, whych was also at Ierusalem at that tyme.
Luke.23.8	And when Herode sawe Iesus, he was exceadyng glad, For he was desyrous to se hym of a longe season, because he had hearde many thynges of hym, and he trusted to haue sene some myracle done by hym.
Luke.23.9	Then he questyoned with him many wordes. But he answered hym nothyng.
Luke.23.10	The hye Prestes Ꟶ Scrybes, stode forth, accused hym straytly.
Luke.23.11	And Herod wyth hys men of warre, despysed hym: and whan he had mocked hym, he arayed hym in whyte clothyng, and sent hym agayne to Pylate.
Luke.23.12	And the same daye Pylate and Herod were made frendes together. For before, they were a variaunce.
Luke.23.13	And Pylate called together the hye Prestes and the rulers, and the people,
Luke.23.14	and sayde vnto them: ye haue brought thys man vnto me, as one that peruerteth the people. And beholde, I examyn hym before you, and fynde no faute in thys man, of those thynges where of ye accuse hym:
Luke.23.15	No nor yet Herode. For I sent you to hym: and lo, nothynge worthy of deeth is done to hym.
Luke.23.16	I wyll therfore chasten hym, and let hym losse.
Luke.23.17	For of necessyte, he must haue let one losse vnto them at the feast.
Luke.23.18	And all the people cryed at once, sayinge: awaye wyth hym, and delyuer to vs Barrabas:
Luke.23.19	(whych for a certayne insurreccyon made in the cytie and for morther, was cast in preson)
Luke.23.20	Pylate spake agayne to them wyllynge to let Iesus losse,
Luke.23.21	But they cryed, sayinge: Crucifye hym, Crucifye hym.
Luke.23.22	He sayde vnto them the thyrde tyme: What euyll hath he done? I fynde no cause of deeth in him. I wyll therfore chasten him, Ꟶ let him go.
Luke.23.23	And they cryed wyth loude voyces, requiryng that he myght be crucyfyed. And the voyces: of them and of the hye Prestes preuayled.
Luke.23.24	And Pylate gaue sentence, that it shuld be as they requyred
Luke.23.25	and he let losse vnto them, hym that (for insurreccyon Ꟶ morther) was cast into preson, whom they had desyred, and he delyuered vnto them Iesus, to do wt hym what they wolde.
Luke.23.26	And as they ledde hym awaye, they caught one Symon of Syren, commynge out of the felde: and on hym layde they the crosse, that he myght beare it after Iesus.
Luke.23.27	And there folowed hym a greate company of people, and of wemen whych bewayled and lamented hym.
Luke.23.28	But Iesus turned backe vnto them, and sayd: Ye daughters of Ierusalem, wepe not for me: but wepe for youre selues, and for youre chyldren.
Luke.23.29	For beholde, the dayes wyl come, in the which they shall saye: happy are the baren and the wombes that neuer bare, and the pappes which neuer gaue sucke.
Luke.23.30	Then shall they begynne to saye to the mountaynes: fall on vs: and to the hylles, couer vs.
Luke.23.31	For yf they do thys in a grene tree, what shalbe done in the drye?
Luke.23.32	And ther were two euyll doers ledde wt hym to be slayne.
Luke.23.33	And after that they were come to the place (which is called Caluary) ther they crucifyed him, Ꟶ the euyl doers, one on the ryght hande, and the other on the lefte.
Luke.23.34	Then sayd Iesus: father forgeue them, for they wote not what they do. And they parted his rayment, and cast lottes.
Luke.23.35	And the people stode, and behelde. And the rulers mocked him wyth them, saying: he saued other men, let him saue him selfe, yf he be very Christ, the chosen of God.
Luke.23.36	The soudyers also mocked hym, and came, and offred hym veneger,
Luke.23.37	and sayd: yf thou be the kynge of the Iewes, saue thy selfe.
Luke.23.38	And a superscripcyon was wrytten ouer hym, wt lettres of Greke, Ꟶ Latin, and Hebrew: This is the kynge of the Iewes.
Luke.23.39	And one of the euyll doers whych were hanged, rayled on him, sayinge: If thou be Chryst, saue thy selfe and vs.
Luke.23.40	But the other answered Ꟶ rebuked him, sayinge: Fearest thou not God, seynge thou art in the same dampnacyon?
Luke.23.41	We are ryghteously punysshed, for we receaue accordynge to oure dedes: But thys man hath done nothynge amysse.
Luke.23.42	And he sayde vnto Iesus. Lorde, remember me, when thou commest into thy kyngdome.
Luke.23.43	And Iesus sayde vnto hym: Uerely I saye vnto the: to daye shalt thou be wyth me in Paradyse.
Luke.23.44	And it was about the syxte houre. And ther was darcknes ouer all the earth, vntyll the nynth houre,
Luke.23.45	and the sonne was darckned. And the vayle of the temple dyd rent, euen thorow the myddes.
Luke.23.46	And whan Iesus had cryed with a loude voyce, he sayd: Father, into thy handes I commende my sprete. And when he thus had sayd, he gaue vp the goost.
Luke.23.47	When the Centuryon sawe what had happened, he gloryfyed God sayinge. Uerely, this was a righteous man.
Luke.23.48	And all the people that came together to that syght, Ꟶ sawe the thynges whych had happened, smote theyr brestes, and returned.
Luke.23.49	And all hys acquayntaunce and the wemen that folowed hym from Galile, stode a farre of, beholdynge these thynges.
Luke.23.50	And beholde ther was a man (named Ioseph) a councellour, and he was a good man and a iuste:
Luke.23.51	the same had not consented to the counsell Ꟶ dede of them, whych was of Aramathia, a cytie of the Iewes, whych same also wayted for the kyngdome of God:
Luke.23.52	he went vnto Pylate, and begged the boddy of Iesus,
Luke.23.53	and toke it downe and wrapped it in a lynnen clooth, and layed it in a sepulchre that was hewen in stone, wherin neuer man before was layed.
Luke.23.54	And that daye was the preparyng of the Sabboth, and the Sabboth drue on.
Luke.23.55	The wemen that folowed after, whych had come wyth hym from Galile, behelde the sepulcre, and how his body was layed.
Luke.23.56	And they returned and prepared swete odoures and oyntmentes: but rested the Sabboth daye, accordynge to the commaundement.
Luke.24.1	But vpon the fyrst daye of the Sabbothes, very early in the mornynge, they came vnto the sepulcre, and brought the swete odoures whych they had prepared, and other wemen wyth them.
Luke.24.2	And they founde the stone rowled awaye from the sepulcre,
Luke.24.3	and they went in: but founde not the body of the Lorde Iesu.
Luke.24.4	And it happened, as they were amased therat, Beholde, two men stode by them in shynynge garmentes.
Luke.24.5	And as they were afrayde, and bowed doune theyr faces to the erth, they sayde vnto them: why seke ye the lyuynge amonge the deed?
Luke.24.6	He is not here: but is rysen. Remember, how he spake vnto you, when he was yet in Galile,
Luke.24.7	sayinge: that the sonne of man must be delyuered into the handes of synfull men, and be crucyfyed, and the thyrde daye ryse agayne.
Luke.24.8	And they remembred hys wordes,
Luke.24.9	Ꟶ returned from the sepulcre, Ꟶ tolde all these thynges vnto those eleuen, Ꟶ to all the remnaunt.
Luke.24.10	It was Mary Magdalen, Ꟶ Ioanna, and Mary Iacobi, and other that were wyth them, whych tolde these thynges vnto the Apostles.
Luke.24.11	And theyr wordes semed vnto them fayned thynges, nether beleued they them.
Luke.24.12	Then arose Peter and ran vnto the sepulchre, and loked in, and sawe the lynnen clothes layde by them selfe, and departed, wondrynge in hym selfe at that whych had happened.
Luke.24.13	And beholde, two of them went that same daye to a towne (called Emaus) which was from Ierusalem about thre skore forlonges,
Luke.24.14	and they talked together of all these thynges that had happened.
Luke.24.15	And it chaunsed, that whyle they communed together and reasoned, Iesus hym selfe drue neare, and went wyth them.
Luke.24.16	But theyr eyes were holden, that they shulde not knowe hym.
Luke.24.17	And he sayde vnto them: What maner of communycacyons are these that ye haue one to another, as ye walke, and are sadd?
Luke.24.18	And the one of them (whose named was Cleophas) answered, and sayde to hym: art thou onely a straunger in Ierusalem, and hast not knowen the thynges whych haue chaunsed there, in these dayes?
Luke.24.19	He sayde vnto them: what thynges? And they sayd vnto hym: of Iesus of Nazareth, whych was a Prophet, myghtye in dede and worde before God and all the people:
Luke.24.20	and how the hye Prestes, and oure rulers delyuered hym to be condempned to deeth: Ꟶ haue crucyfyed hym.
Luke.24.21	But we trusted that it had bene he whych shuld haue redemed Israel. And as touchynge all these thynges, to daye is euen the thyrd daye, that they were done.
Luke.24.22	Yee, and certayne wemen also of oure company made vs astonnyed, which came early vnto the sepulchre,
Luke.24.23	and founde not hys body: and came, sayinge, that they had sene a visyon of angels, whych sayd that he was alyue.
Luke.24.24	And certayne of them whych were wyth vs, went to the sepulchre, and founde it euen so as the wemen had sayde: but hym they sawe not.
Luke.24.25	And he sayde vnto them: O fooles Ꟶ slowe of herte, to beleue all that the Prophetes haue spoken.
Luke.24.26	Ought not Chryst to haue suffred these thynges, and to enter into hys glory?
Luke.24.27	And he began at Moses, and all the Prophetes, Ꟶ interpreted vnto them in all scriptures whych were wrytten of hym.
Luke.24.28	And they drue nye vnto the towne, whych they went vnto. And he made, as though he wold haue gone further.
Luke.24.29	And they constrayned hym sayinge: abyde wyth vs, for it draweth towardes nyght, and the daye is farre passed. And he went into tary wyth them.
Luke.24.30	And it came to passe, as he sate at meate wyth them, he toke bread, and blessed it, and brake, and gaue to them.
Luke.24.31	And their eyes were opened, and they knewe hym: and he vanysshed out of their syght.
Luke.24.32	And they sayd betwene them selues: dyd not oure hertes burne wyth in vs, whyll he talked wyth vs by the waye, and opened to vs the scryptures?
Luke.24.33	And they rose vp, the same houre, and returned agayne to Ierusalem, and founde the eleuen gathered together, and them that were wyth them,
Luke.24.34	saying: the Lorde is rysen in dede, Ꟶ hath apered to Symon.
Luke.24.35	And they tolde, what thynges were done in the waye, and how they knewe hym, in breakynge of bread.
Luke.24.36	As they thus spake Iesus hym selfe stode in the myddes of them, and sayeth vnto them: peace be vnto you.
Luke.24.37	But they were abasshed and afrayde, Ꟶ supposyd that they had sene a sprete.
Luke.24.38	And he sayde vnto them: why are ye troubled, and why do thoughtes aryse in youre hertes?
Luke.24.39	Beholde my handes and my fete, that it is euen I my selfe. Handle me and se: for a sprete hath not flesshe and bones, as ye se me haue.
Luke.24.40	And when he had thus spoken, he shewed them hys handes and hys fete.
Luke.24.41	And whyll they yet beleued not for ioye, and wondred, he sayd vnto them: Haue ye here eny meate?
Luke.24.42	And they offred hym a pece of a broyled fysshe, and of an hony combe.
Luke.24.43	And he toke it, and dyd eate before them.
Luke.24.44	And he sayde vnto them. These are the wordes whych I spake vnto you, whyll I was yet with you: that all must nedes be fulfylled, whych were wrytten of me in the lawe of Moses and in the Prophetes, and in the Psalmes.
Luke.24.45	Then opened he theyr wyttes, that they myght vnderstand the scryptures,
Luke.24.46	and sayde vnto them: Thus is it wrytten, and thus it behoued Christ to suffre, and to ryse agayne from deeth the thyrde daye,
Luke.24.47	Ꟶ that repentaunce and remyssyon of synnes shulde be preached in hys name amonge all nacyons, and must begynne at Ierusalem.
Luke.24.48	And ye are wytnesses of these thynges.
Luke.24.49	And beholde, I will sende the promes of my father vpon you. But tary ye in the cytie of Ierusalem, vntyll ye be endewed wyth power from an hye.
Luke.24.50	And he led them out into Bethany, and lyfte vp hys handes, and blessed them.
Luke.24.51	And it cam to passe, as he blessed them, he departed from them, and was caryed vp into heauen.
Luke.24.52	And they worshypped hym, and returned to Ierusalem wyth greate ioye,
Luke.24.53	and were contynually in the temple praysynge Ꟶ laudynge God, Amen.
Luke.0.0	¶ Here endeth the Gospell of Sayncte Luke.
