Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.29.5	And I haue led you .xl. yeare in the wyldernesse: and youre clothes are not waxed olde vpon you, and thy showe is not waxed olde vpon thy fote.
Deut.29.6	Ye haue eaten no bread, nor droncke wyne or stronge dryncke, that ye myghte knowe, howe that I am the Lord youre God.
Deut.29.7	And ye came vnto this place, Ꟶ Sehon the kynge of Hesbon, and Og kynge of Basan came out agaynst vs vnto battell, and we smote them,
Deut.29.8	and toke theyr lande, Ꟶ gaue it for an inheritaunce vnto the Rubenites Ꟶ Gadites, and to the halfe trybe of Manasse.
Deut.29.9	kepe therfore the wordes of this appoyntment and do them, that ye maye vnderstande all that ye ought to do.
Deut.29.10	Ye stande thys daye euery one of you before the Lorde your God: youre captaynes, youre trybes, your elders, youre offycers, and all the men of Israel:
Deut.29.11	youre chyldren also, youre wyues Ꟶ the straunger that is in thyne hoste from the hewer of thy wodd, vnto the drawer of thy water:
Deut.29.12	that thou shuldest go into the appoyntment of the Lord thy God, Ꟶ into his othe which the Lord thy God maketh wyth the this daye.
Deut.29.13	For to make the a people vnto him selfe, and that he maye be vnto the a God, as he hath sayde vnto the, and as he hath sworne vnto thy fathers Abraham, Isahac and Iacob.
Deut.29.14	I make not thys bonde Ꟶ this othe wyth you only:
Deut.29.15	but both wyth hym that standeth here wyth vs this daye before the Lord oure God, and also wyth hym that is not here with vs this daye.
Deut.29.16	For ye knowe, howe we haue dwelt in the lande of Egypte, and how we came thorowe the myddes of the nacions whych ye passed by.
Deut.29.17	And ye haue sene theyr abhominacyons and theyr ydolles: (wod Ꟶ stone, syluer and golde) whych were amonge them.
Deut.29.18	Lest there be amonge you man or woman, kynred or trybe, whose hert turneth awaye this daye from the Lorde oure God, to go and serue the goddes of these nacyons: Ꟶ lest there be amonge you some roote that beareth gall Ꟶ worm wod,
Deut.29.19	so that when he heareth the wordes of thys ooth, he blesse hym selfe in hys hert, sayinge. I shall haue peace. I wyll walke in the meanynge of myne owne hert, (Thou put the dronken to the thyrstye.)
Deut.29.20	And so the Lorde wyll not consent to be mercyfull vnto hym, but then the wrath of the Lorde and hys gelousye shall smoke agaynst that man, Ꟶ all the curses that are wryten in this boke shall lyght vpon hym, and the Lorde shall do out hys name from vnder heauen,
Deut.29.21	and the Lorde shall separate him vnto euell out of all the tribes of Israel, accordyng vnto all the curses of the appoyntment, that are wrytten in the boke of thys lawe.
Deut.29.22	So that the generacyon to come of youre chyldren, that shall ryse vp after you, and the straunger that shall come from a farre lande shall saye, when they se the plages of that lande, and the diseases wherwith the Lorde hath smytten it,
Deut.29.23	howe all the lande is burnt vp with brymstone Ꟶ salt, Ꟶ that it is nether sowen nor beareth, nor any grasse groweth therin, lyke as in the place of the ouerthrowynge of Sodome, Gomor, Adama, Ꟶ zeboim: whych the Lorde ouerthrewe in hys wrath and angre:
Deut.29.24	Euen then shall all nacions saye: wherfore hath the Lorde done of this facyon vnto thys lande? O howe fearse is thys great wrath?
Deut.29.25	And men shalt saye: because they lefte the testament of the Lorde God of theyr fathers whych he made with them, when he brought them out of the lande of Egypt.
Deut.29.26	For they went, and serued straunge goddes, Ꟶ worshipped them: Goddes whych they knewe not, and whych had geuen them nought.
Deut.29.27	And the wrath of the Lorde waxed whote agaynst thys lande, to brynge vpon it all the curses that are written in this boke.
Deut.29.28	And the Lorde cast them out of theyr lande in angre, wrath, and greate indignacyon, and cast them into a straunge lande, as this daye beareth wytnesse.
Deut.29.29	The secrettes of the Lorde oure God are opened vnto vs, and to oure chyldren for euer, that we maye do all the wordes of thys lawe.
Deut.30.1	When all these wordes are come vpon the, the blessynge and the curse which I haue set before the, thou shalt turne vnto thine hert, amonge all the nacyons whether the Lorde thy God hath thruste the,
Deut.30.2	and come agayne vnto the Lorde thy God, and herken vnto his voyce in all these thynges that I commaunde the thys daye: thou Ꟶ thy chyldren wythall thyne herte and all thy soule:
Deut.30.3	And the Lord thy God wyll turne thy captiuite, and haue compassyon vpon the, Ꟶ wyll turne, and fet the agayne from all the nacions, amonge whych the Lorde thy God shall haue scatered the.
Deut.30.4	Though thou wast cast vnto the extreme partes of heauen: euen from thence wyll the Lorde thy God gether the, Ꟶ from thence wyll he fett the,
Deut.30.5	Ꟶ the Lorde thy God wyll brynge the into the lande whych thy fathers possessed, Ꟶ thou shalt enioye it. And he wyll shewe the kyndnesse, and multiplie the aboue thy fathers.
Deut.30.6	And the Lorde thy God wyll circumcyse thyne hert, and the hert of thy seed, that thou mayest loue the Lord thy God wythall thyne hert, and all thy soule, that thou mayst lyue.
Deut.30.7	And the Lord thy God wyll put all these curses vpon thyne enemyes, and on them that hate the, Ꟶ that persecute the.
Deut.30.8	But thou shalt turne, and herken vnto the voyce of the Lorde, and do all hys commaundementes, which I commaunde the thys daye.
Deut.30.9	And the Lord thy God wyll make the plenteous in all the workes of thyne hande, in the frute of thy bodye, and in the frute of thy catell, and in the frute of thy lande for thy welth. For the Lorde wyll turne agayne and reioyse ouer the to do the good, as he reioysed ouer thy fathers:
Deut.30.10	If thou herken onely vnto the voyce of the Lord thy God, to kepe his commaundementes and his ordinaunces whych are wrytten in the boke of this lawe, and yf thou turne vnto the Lorde thy God wythall thyne hert and all thy soule.
Deut.30.11	For the commaundement which I commaunde the this daye, is not separated from the, nether farre of.
Deut.30.12	It is not in heauen, that thou neadest to saye: who shall go vp for vs to heauen, and fet it vs, that we maye heare it, and do it?
Deut.30.13	Nether is it beyonde the see: that thou shuldest saye: who shall go ouer the see for vs, and fet it vs, that we maye heare it, and do it?
Deut.30.14	But the worde is very nye vnto the: euen in thy mouth and in thyne hert, that thou do it.
Deut.30.15	Beholde I haue set before the this daye lyfe and good, death and euell:
Deut.30.16	For where as I commaunde the thys daye, to loue the Lorde thy God, to walke in hys wayes, and to kepe hys commaundementes, his ordinaunces, and hys lawes (yf thou so do) thou shalt lyue and multiplye, and the Lorde thy God shall blesse the in that lande, whether thou goest to possesse it.
Deut.30.17	But and yf thyne herte turne awaye, so that thou wylt not heare: but shalt goo astraye, and worshyppe straunge goddes, and serue them,
Deut.30.18	I pronounce vnto you also this daye, that ye shall surely perysh, and that ye shall not prolonge youre dayes vpon the lande whether thou passest ouer Iordan, to go and possesse it.
Deut.30.19	I call heauen Ꟶ erth to recorde this daye agaynst you, that I haue set before you lyfe and death, blessynge Ꟶ cursynge: Therfore chose lyfe, that both thou and thy seed maye lyue,
Deut.30.20	that thou mayest loue the Lorde thy God, and be obedient to hys voyce, Ꟶ cleaue vnto him. For he is thy lyfe, and the length of thy dayes, that thou mayst dwell vpon the erth whych the Lorde sware vnto thy fathers: Abraham, Isahac and Iacob, to geue them.
Deut.31.1	And Moses went and spake these wordes vnto all Israel,
Deut.31.2	and sayd vnto them: I am an hundred and .xx. yeare olde thys daye, and can nomore go out and in. Also the Lorde hath sayde vnto me thou shalt not goo ouer thys Iordan.
Deut.31.3	The Lorde your God he wyll go ouer before the, and he wyll destroye these nacyons before the, Ꟶ thou shalt conquere them. And Iosua he shall go before the, as the Lorde hath sayde.
Deut.31.4	And the Lorde shall do vnto them, as he dyd to Seon and Og kynges of the Amorites, and vnto the lande of them, whom he destroyed.
Deut.31.5	And the Lorde shall geue them ouer before youre face, that ye maye do vnto them, accordinge vnto all the commaundementes which I haue commaunded you.
Deut.31.6	Plucke vp youre hartes therfore, and be stronge, dreade not, nor be aferde of them: for the Lord thy God him selfe doth go wyth the. He shall not fayle the, nor forsake the.
Deut.31.7	And Moses called vnto Iosua, and sayde vnto hym in the syghte of all Israel: Be stronge Ꟶ bolde, for thou must go with thys people vnto the lande, which the Lorde hath sworne vnto their fathers, to geue them, Ꟶ thou shalt geue it them to enheret.
Deut.31.8	And the Lorde he doth go before the: He shall not fayle the, neyther forsake the: feare not therfore, nor be discomforted.
Deut.31.9	And Moses wrote this lawe, and delyuered it vnto the preastes the sonnes of Leui (whych bare the arcke of the testament of the Lorde) and vnto all the elders of Israel,
Deut.31.10	Ꟶ Moses commaunded them, sayinge: At the poynt of .vij. yeares in the solempnyte of the fre yeare, euen in the feast of Tabernacles,
Deut.31.11	when all Israel is come to apeare before the Lord thy God, in the place whych he hath chosen: thou shalt reade thys lawe before all Israel in theyr eares.
Deut.31.12	Gether the people together: men, wemen and chyldren, and the straunger that is wythin thy gates, that they maye heare, and lerne and feare the Lorde your God, and kepe, and obserue all the wordes of thys lawe,
Deut.31.13	and that their chyldren whych knowe nothynge, maye heare, and lerne to feare the Lord your God, as longe as ye lyue in the lande, whether ye go ouer Iordan to possesse it.
Deut.31.14	And the Lorde sayde vnto Moses: Beholde thy dayes are come, that thou must dye. Call Iosua therfore, and stande ye in the tabernacle of wytnesse, that I maye geue hym a charge. And Moses and Iosua went, and stode in the tabernacle of wytnesse:
Deut.31.15	And the Lorde apeared in the tabernacle: euen in the pyller of the cloude. And the pyller of the cloude stode ouer the dore of the tabernacle.
Deut.31.16	And the Lorde sayde vnto Moses: beholde, thou shalt slepe wyth thy fathers, and thys people wyll ryse vp, and go a whorynge after straunge goddes of the lande (whether they go) and will forsake me, and breake the appoyntment, whych I haue made wyth them.
Deut.31.17	And then my wrath wyll waxe whote agaynst them, and I wyll forsake them, and wyll hyde my face from them, Ꟶ they shalbe consumed. And moch aduersyte and tribulacyons shall come vpon them, so that then they wyll saye: Are not these troubles come vpon me, because God is not wyth me?
Deut.31.18	And I also wyll surely hyde awaye my face in that daye, for all the euels sake whych they shall haue wrought in that they are turned vnto straunge Goddes.
Deut.31.19	Now therfore write ye thys songe for you, and teache it the chyldren of Israel, and put it in theyr mouthes, that thys songe maye be my wytnesse agaynst the chyldren of Israel.
Deut.31.20	For I wyll bryng them into the lande, (which I sware vnto theyr fathers) that floweth wt mylke and honye, Ꟶ they shall eate, and fyll them selues, and waxe fatt, and turne vnto straunge goddes, and serue them, and blaspheme me, and breake my couenaunt.
Deut.31.21	And then when moch myschefe and tribulacyon is come vpon them, thys songe shall answere them, as a wytnesse. For it shall not be forgotten out of the mouthes of theyr seed: for I knowe theyr imaginacyon, whych they goo about euen nowe, before I haue broughte them into the lande which I sware.
Deut.31.22	Moses therfore wrote thys songe the same ceason, and taught it the children of Israel.
Deut.31.23	And he gaue Iosua the sonne of Nun a charge, and sayd: be bolde, Ꟶ stronge, for thou shalt bryng the chyldren of Israel into the lande, whych I sware vnto them, and I wyll be with the.
Deut.31.24	And when Moses had made an ende of wrytynge out of the wordes of this lawe in a boke vnto the ende of them,
Deut.31.25	Moses commaunded the Leuites, whych bare the arke of the testament of the Lorde, sayinge:
Deut.31.26	take ye the boke of thys lawe, and put it in the syde of the arcke of the testament of the Lorde your God, that it maye be there for a witnesse against the:
Deut.31.27	For I knowe thy stuburnesse and thy styffe necke: whyle I am yet a lyue with you this daye, ye haue bene disobedient vnto the Lord: and howe moch more after my death?
Deut.31.28	Gather vnto me all the elders of youre trybes, Ꟶ youre offycers, that I maye speake these wordes in theyr eares, and call heauen, and erth to recorde agaynst them.
Deut.31.29	For I am sure that after my death, ye wyll vtterly be corrupte, and turne from the waye whych I haue commaunded you, and tribulacyon wyll come vpon you in the later dayes, because ye shall haue wrought wyckednesse in the syght of the Lorde, to prouoke hym thorow the workes of your handes.
Deut.31.30	And Moses spake in the eares of all the congregacion of Israel the wordes of thys songe, vntyll he had ended them.
Deut.32.1	Heare O ye heauens, Ꟶ I shall speake, and let the erth heare the wordes of my mouth,
Deut.32.2	My doctrine shall droppe as doeth the rayne, Ꟶ my speach shall flowe as dothe the dewe, as the shower vpon the herbes, Ꟶ as the droppes vpon the grasse.
Deut.32.3	For I wyll call on the name of the Lorde: Ascrybe ye honoure vnto oure God.
Deut.32.4	Perfecte is the worke of the most myghtye God: for all hys wayes are iudgement. He is a God of trueth, without wickednesse: ryghteous, and iust is he.
Deut.32.5	Frowardly haue they done against him thorowe their deformities: not his owne children, but a wycked Ꟶ frowarde generacyon.
Deut.32.6	Do ye so rewarde the Lorde, O foolyshe nacyon Ꟶ vnwyse? Is not he thy father Ꟶ thyne owner? hath he not made the, and ordeyned the?
Deut.32.7	Remembre the dayes of the worlde that is past: consydre the yeres from tyme to tyme. Aske thy father, and he wyll shewe the: thy elders, Ꟶ they wyll tell the.
Deut.32.8	When the most highest, deuyded the nacyons, and whan he separated the sonnes of Adam, he put the borders of the nacyons, fast by the multitude of the chyldren of Israel.
Deut.32.9	For the Lordes parte is hys folke, and Iacob is the porcyon of hys enheritaunce.
Deut.32.10	He founde him in a deserte lande, in a voyde grounde, Ꟶ in a rorynge wyldernesse. He led hym aboute, he gaue hym vnderstandynge, and kepte him as the apple of his eye.
Deut.32.11	As an egle that stereth vp her nest and flotereth ouer her younge, Ꟶ stretcheth out hir winges, so doth he take them vp, Ꟶ beareth them on his shoulders.
Deut.32.12	The Lorde alone was hys guyde, Ꟶ there was no straunge God wt him.
Deut.32.13	He caried him vp to an hye lande, that he myght eate the encrease of the feldes, And he fedd him wyth honye out of the rocke, and with oyle out of the most harde stone.
Deut.32.14	Wyth butter of kyne, Ꟶ mylcke of the shepe, wyth fat of the lambes and of fat rammes and he goates, with the fat of most plenteous wheate: and that thou myghtest drynke the most pure bloude of the grape.
Deut.32.15	But he that shulde haue bene vpryght, whan he waxed fatt, spurned with his hele. Thou art well fedd, thou art growen thick: thou art euen laden with fatnesse. And he forsoke God his maker, Ꟶ regarded not the God of his saluacyon.
Deut.32.16	They prouoked hym to angre with straunge goddes: euen wt abhominacyons prouoked they him
Deut.32.17	They offered vnto deuels, and not to God, euen to goddes whom they knewe not: to newe goddes that came newly vp, whom their fathers feared not.
Deut.32.18	Of the rocke that begat the, thou arte vnmyndefull, and hast forgotten God that made the.
Deut.32.19	The Lorde therfore sawe it, and was angrye, because of the prouokynge of hys sonnes and of hys daughters.
Deut.32.20	And he sayde: I wyll hyde my face from them, Ꟶ will se what their ende shall be. For they are a very fro warde generacion, chyldren in whom is no fayth.
Deut.32.21	They haue angred me wyth that whych is no God, and prouoked me wyth their vanyties. And I also wyll prouoke them with those whych are no people, I wyll anger them wyth a folyshe nacion.
Deut.32.22	For fyre is kyndled in my wrath, Ꟶ burneth vnto the botome of hell. And hath consumed the earth with her encrease, and sett a fyre the botoms of the mountaynes.
Deut.32.23	I will heape mischeues vpon them, Ꟶ wyll destroye them wyth myne arowes.
Deut.32.24	They shalbe burnt with hunger, and consumed wt heate, and with bytter destruccion: I wyll also sende the teeth of beastes vpon them, with the furiousnes of serpentes in the dust.
Deut.32.25	Without forth, shall the swerde robbe them of their chyldren: and within in the chamber, feare: both younge men and younge wemen and the suckelynges wyth the men of gray heades.
Deut.32.26	I haue sayde: I will skater them abrode, and make the remembraunce of them to ceasse from amonge men.
Deut.32.27	Were it not that I feared the wrath of the enemye, lest their aduersaries shulde vtterly wythdrawe them selues, and lest they shulde saye: oure hye hande hath done all thys, and not the Lorde.
Deut.32.28	For it is a nacyon without forecast, nether is there any vnderstandynge in them:
Deut.32.29	O that they were wyse, and vnderstode thys, that they wolde consyder their later ende.
Deut.32.30	Howe shulde one chace a thousande, and two put ten thousande to flyghte: excepte their maker had solde them, and excepte the Lorde had shutt them vp?
Deut.32.31	For their God is not as oure God oure enemyes also themselues are iudges.
Deut.32.32	For their vyne is of the vinyarde of Sodome, and of the feldes of Gomorra: Theyr grapes are grapes of gall, and their clusters be bytter.
Deut.32.33	Their wyne is the poyson of draggons Ꟶ the cruell gall of aspes.
Deut.32.34	Is not thys layde in store with me, Ꟶ sealed vp amonge my treasures?
Deut.32.35	Uengeaunce is myne, and I wyll rewarde: their fete shall slyde in due tyme. For the daye of their destruccyon is at hande, and the thynges that shall come vpon them make haste.
Deut.32.36	For the Lorde shall iudge hys people, and haue compassyon on hys seruauntes: whan he seyth that their power is gone, and that they be in a maner shut vp, or brought to naught and forsaken.
Deut.32.37	And he shall saye wher are their goddes? their God, in whom they trusted?
Deut.32.38	The fat of whose sacrifyces they dyd eate and drancke the wyne of their dryncke offringes? let them ryse vp and helpe you, and be youre proteccyon.
Deut.32.39	Se nowe, howe that I I alone am God, Ꟶ there is none but I: I kyll, and wyll make alyue: I wounde, and I wyll heale: nether is there any that can delyuer out of my hande.
Deut.32.40	For I wyll lyfte vp myne hande to heauen, and wyll saye: I lyue euer.
Deut.32.41	If I whett the edge of my swerde, Ꟶ myne hande take holde to do iustice, I wyll recompence vengeaunce on myne enemyes, Ꟶ wyll rewarde them that hate me.
Deut.32.42	I will make myne arowes droncke with bloude, and my swerde shall eate fleshe, Ꟶ that for the bloude of the slayne, Ꟶ for their captiuite, sens the begynnynge of the wrath of the enemye.
Deut.32.43	Prayse ye hethen his people, for he will auenge the bloude of hys seruauntes, Ꟶ wyll auenge hym of his aduersaries, and wylbe mercyfull vnto his lande, and to hys people.
Deut.32.44	And Moses came and spake all the wordes of thys songe in the eares of the people, he and Iosua the sonne of Nun.
Deut.32.45	And Moses: spake all these wordes vnto the ende to all the people of Israel,
Deut.32.46	and sayde vnto them: Sett youre herte vnto all the wordes which I testyfye vnto you thys daye: and ye shall commaunde them vnto youre chyldren, that they maye obserue and do all the wordes of thys lawe.
Deut.32.47	And let it not be a vayne worde vnto you: for it is youre lyfe, and thorowe thys worde ye shall prolonge youre dayes in the lande whether ye go ouer Iordan, to conquere it.
Deut.32.48	And the Lorde spake vnto Moses the selfe same daye, sayinge:
Deut.32.49	get the vp in to this mountayne Abarim. vnto mount Nebo, whych is in the lande of Moab ouer agaynst Iericho. And beholde the lande of Canaan, which I geue vnto the chyldren of Israel to possesse:
Deut.32.50	And dye in the mount whych thou goest vp vnto, and thou shalt be gathered vnto thy people. As Aaron thy brother dyed in mounte Hor, and was gethered vnto hys people:
Deut.32.51	because ye trespased agaynst me amonge the chyldren of Israel at the waters of stryffe, at Cades in the wyldernesse of zin: for ye sanctifyed me not amonge the chyldren of Israel.
Deut.32.52	Thou shalt therfore se the lande before the, and shall not goo thyther vnto the lande whych I geue the chyldren of Israel.
Deut.33.1	Thys is the blessynge wherwyth Moses the man of God blessed the chyldren of Israell before hys death,
Deut.33.2	and sayde: The Lorde came from Sinai and shewed hys beames from Seir vnto them, and apeared from mount Pharan, and he came wyth thousandes of sayntes, and in his ryghte hande a lawe of fyre for them.
Deut.33.3	And he loued the people. All hys sayntes also are in thy handes. They were smytten to go after thy fete, and to receaue of thy wordes.
Deut.33.4	Moses gaue vs a lawe to be an enheritaunce of the congregacyon of Iacob.
Deut.33.5	And he was in Israel kynge when the heades of the people, and the trybes of Israel were gathered together.
Deut.33.6	Let Ruben lyue, and not dye: and be fewe in nombre.
Deut.33.7	Thys same also happen to Iuda. And he sayde: heare Lorde the voyce of Iuda, and brynge hym vnto hys people: hys handes shalbe good ynough for him, yf thou helpe hym agaynst hys enemyes.
Deut.33.8	And vnto Leui he sayde: Thumim Ꟶ vrim shalbe with the, Ꟶ wyth euery one that is godly in the. Thou dyddest proue him also in the tentacyon Ꟶ striuedst wyth hym at the waters of stryfe.
Deut.33.9	He that hath sayde vnto his father and to his mother: I haue not sene him, And he that knewe not his brethren, ner knewe his awne chyldren, those are they that haue obserued thy worde, and shall kepe thy couenaunt.
Deut.33.10	They shall teache Iacob thy iudgementes, and Israel thy lawe. They shall put cens before thy nose, and the burnt sacrifyce vpon thyne altare.
Deut.33.11	Blesse Lord his fyrst frutes and accept the worke of his handes: smyte the loynes of them that ryse agaynst him, and of them that hate him, that they ryse not agayne.
Deut.33.12	And of Ben Iamin he sayde. The Lordes derlynge shall dwell in saffetye vpon hym Ꟶ the Lorde shall couer him all the daye longe, and he shall dwell betwene his shoulders.
Deut.33.13	And of Ioseph he sayde: blessed of the Lord is his lande for the frutes of heauen, thorowe the dewe and sprynges that lye beneth,
Deut.33.14	and for the swete frutes of the encrease of the sonne, and rype frutes of the mone:
Deut.33.15	for the fyrst frutes of the principall mountaynes, and for the frutes that the hylles brynge furth for euer,
Deut.33.16	and for the frutes of the erth, and fulnesse therof: and for the good wyll of hym that dwelt in the bushe, shall the blessynge come vpon the heade of Ioseph, Ꟶ vpon the toppe of the heade of him that was separated from amonge his brethren
Deut.33.17	his firstborne oxe hath be wtie, and his hornes are as the hornes of an vnycorne. And wyth them he shall trouble the nacyons together, euen vnto the endes of the worlde. These are also the many thousandes of Ephraim, Ꟶ the thousandes of Manasses.
Deut.33.18	And vnto zabulon he sayde: Reioyse zabulon in thy goynge out, and thou Isachar in thy tentes.
Deut.33.19	They shall call the people vnto the hyll, and there they shall offer offerynges of ryghteousnes. For they shall sucke of the abundance of the see, and of treasure hyd in the sande.
Deut.33.20	And vnto Gad he sayde: blessed be the rowme maker Gad: he dwelleth as a Lyon, that catcheth the arme wyth the heade.
Deut.33.21	He sawe therfore his begynninge, and that there was a porcyon there to hyde the lawgeuer, and he came with the heades of the people, and executed the ryghteousnes of the Lorde and his iudgementes with Israel.
Deut.33.22	And vnto Dan he sayde: Dan is a lyons whelpe, he shall flowe from Basan.
Deut.33.23	And vnto Nephthali he sayde, Nephthali hath abundaunce of Gods good pleasure, Ꟶ is fylled with the blessynge of the Lorde, Ꟶ shall haue his possessyons towarde the southwest.
Deut.33.24	And to Aser he sayde: Aser shalbe blessed with chyldren: he shalbe acceptable vnto his brethren, Ꟶ shall dyppe his fote in oyle:
Deut.33.25	Thy dwellynge be yron and brasse, and thyne age be as thy youth.
Deut.33.26	There is none lyke vnto the God of Israel: which though he sit vpon the heauen as vpon a horse, yet is he thy helper, whose glory is in the celestiall places.
Deut.33.27	The eternall God is thy refuge, Ꟶ vnder the armes of the Euerlastynge God shalt thou lyue. He shall cast out the enemye before the, and saye, destroye.
Deut.33.28	Israel then shall dwell in safetye, Ꟶ alone. And the eye of Iacob shalbe vpon a lande of corne and wyne, and hys heauens shall droppe the dewe.
Deut.33.29	Happye art thou o Israel, who is lyke vnto the? O people, that art saued in the Lorde, which is the shylde of thy helpe, and swerde of thy glorye. Thyne enemies haue lost their strength to the warde, and thou shalt treade vpon the heygth of them.
Deut.34.1	And Moses went from the playne of Moab vp into mount Nebo and vnto the toppe of the hyll that is ouer agaynst Iericho. And the Lorde shewed hym all the lande of Gilead, euen vnto Dan,
Deut.34.2	and all Nephthali and the lande of Ephraim Ꟶ Manasse, Ꟶ all the lande of Iuda: euen vnto the vtmost see,
Deut.34.3	and the south, and the region of the playne of Iericho the cytie of paulmetrees, euen vnto zoar.
Deut.34.4	And the Lorde sayde vnto hym. Thys is the lande whych I sware vnto Abraham, Isahac and Iacob sayinge: I wyll geue it vnto thy seed. I haue caused the also to se it wyth thyne eyes, but thou shalt not goo ouer thyther.
Deut.34.5	So Moses the seruaunte of the Lorde dyed there in the lande of Moab accordynge to the worde of the Lorde.
Deut.34.6	And he buryed him in a valey in the lande of Moab ouer agaynst the house of Peor, but no man knoweth of his sepulchre vnto this daye.
Deut.34.7	Moses was an hundred and twentye yere olde when he dyed: hys eye was not dymme, nor hys naturall coloure abated.
Deut.34.8	And the chyldren of Israell wepte for Moses in the playne of Moab thyrtye dayes. And the dayes of wepynge Ꟶ mournynge for Moses were ended.
Deut.34.9	And Iosua the sonne of Nun was full of the spryte of wysdome: for Moses had put hys handes vpon hym. And the chyldren of Israel were obedient vnto hym, and dyd as the Lorde commaunded Moses.
Deut.34.10	And there arose not a prophet sence in Israel lyke vnto Moses, whom the Lorde knewe face to face,
Deut.34.11	accordynge vnto all the myracles and wonders which the Lorde sent him to do in that lande of Egypte, vnto Pharao Ꟶ all his seruauntes Ꟶ before all his lande:
Deut.34.12	Ꟶ accordynge to all that myghtie hande, Ꟶ all the greate visions, which Moses shewed in the syght of all Israell.
Deut.0.0	¶ The ende of the fyfth boke of Moses, called in the Hebrue Elle Haddebarim, and in the Latin. Deuteronomium.
