Isa.0.0	¶ The booke of the prophete Esay
Isa.10.10	As who say: I were able to wynne the Kyngdome of the Idolaters and their goddes: but not Ierusalem Ꟶ Samaria.
Isa.10.11	Shal I not do vnto Ierusalem Ꟶ their ymages, as I dyd vnto Samaria and their ydoles?
Isa.10.12	Wherfore the Lord sayeth: Assone as I haue perfourmed my whole worcke vpon the hyll of Syon and Ierusalem, then wyll I vyset the noble and stoute hart of the kynge of Assyria, with hys proude lookes.
Isa.10.13	For he standeth thus in his awne conceate: This do I thorowe the power of myne awne hande, and thorow my wysdome: For I am wyse, I am he that remoue the landes of the people: I robbe their treasures: and (lyke one of the worthyes) I dryue them from their hye seates.
Isa.10.14	My hande hath founde out the strength of the people, as it were a nest. And lyke as egges, that were layde here and there, are gathered together: So do I gather all countrees. And there is no man, that darre be so bolde, as to touch a fether, that darre open his mouth, or once whysper.
Isa.10.15	Shall the axe boast it selfe, agaynst him that heweth therwith? or doth the sawe make eny bragging agaynst him that ruleth it? That were euen lyke, as yf the rod dyd exalte it selfe agaynst him that beareth it: or as though the staff shulde magnifye it selfe, as who saye: it were no wood.
Isa.10.16	Therfore shal the Lord of hostes send him amonge his fatlinges leanes, Ꟶ burne vp his glory, as it were wt a fyre.
Isa.10.17	But the lyght of Israel shalbe that fyre, and his Sanctuary shalbe the flamme and it shall kyndle, and burne vp his thornes and breers in one daye,
Isa.10.18	yee all the glory of his woddes and feldes shalbe consumed with body Ꟶ soule: And they shalbe as an hoost of men, whose standerd bearer fayleth.
Isa.10.19	The trees also of hys felde which remayne, shalbe of soch a nombre, that a childe maye tell them.
Isa.10.20	After that daye shall the remnaunt of Israel, Ꟶ soch as are escaped out of the house of Iacob, seke nomore conforte at him that smote them, but with faythfulnesse Ꟶ treuth shal they trust vnto the Lord, the holy one of Israel.
Isa.10.21	The remnaunt, euen the Posteryte of Iacob, shall conuerte vnto God the myghty one.
Isa.10.22	For though thy people (O Israel) be as the lande of the see, yet shal the remnaunt of them conuerte in hym. Perfecte is the iudgement of him that floweth in ryghteousnesse,
Isa.10.23	and therfore the Lorde of hostes shall perfectly fulfyll the thynge, that he hath determined in the myddest of the whole worlde
Isa.10.24	Therfore thus sayeth the Lord God of hostes: Thou my people, that dwellest in Syon, be not afrayed, for the kynge of the Assirians: He shal smyte the with a rodd, Ꟶ shal wagg his staff at the, as the Egypcians dyd some tyme:
Isa.10.25	But soone after, shall my wrath and myne indignacion be fulfylled in the destruccion of them.
Isa.10.26	Moreouer, the Lord of Hostes shall prepare a scourge for him, lyke as was the slaughter of Madian vpon the rock of Oreb. And he shall lyft vp his rodd ouer the see, as he dyd somtyme ouer the Egypcians.
Isa.10.27	Then shall hys burthen be taken from thy shoulders, and his yock from thy neck, yee, the same yock shall be corrupte for very fatnesse.
Isa.10.28	He shall come to Aiath, and go thorow toward Mygron: at Mychmas shall he laye vp his harnesse,
Isa.10.29	and go ouer the foorde. Gybea shall be their restynge place, Rhamah shalbe a frayed, Gybea Saul shall flye awaye.
Isa.10.30	The voyce of the noyes of thy horses (O daughter Gallim) shalbe herde vnto Lays Ꟶ to Anathoth, which also shalbe in trouble.
Isa.10.31	Madmena shall tremble for reare, but the citesins of Gabin are manly,
Isa.10.32	yet shal he remayne at Nob that daye. After that, shal he lyft vp hys hande agaynst the mount of the daughter Syon, the hyll of Ierusalem.
Isa.10.33	But se, the Lord God of hostes shall take awaye the proude from thence, with feare. He shall hewe downe the proude, Ꟶ fel the hye mynded.
Isa.10.34	The busshes also of the wood shal he rote out with yron, and Lybanus shall haue a myghtye fall.
Isa.11.1	And there shall come a rodd forth of the kynred of Isai, and a blossome shall florish out of hys rote.
Isa.11.2	The sprete of the Lord shall lyght vpon hym: the sprete of wysdome, and vnderstandynge: the sprete of councell, Ꟶ strength the sprete of knowledge, and of the feare of the Lorde:
Isa.11.3	and shall make hym feruent in the feare of God. For he shall not geue sentence, after the thyng that shal be brought before his eyes, nether reproue a matter at the fyrst hearing:
Isa.11.4	but wt ryghteousnesse shal he iudge the poore, and with holynes shal he refourme the simple of the worlde. He shall smyte the worlde with the rodd of hys mouth, Ꟶ wt the breath of hys mouth shall he staye the vngodly.
Isa.11.5	Ryghteousnesse shalbe the gyrdle of his loynes, trueth Ꟶ faythfulnesse, the gyrdynge vp of hys raynes.
Isa.11.6	The wolfe shall dwell with the lambe, and the Leoparde shal lye downe by the goate. Bullockes, Lyons Ꟶ catell shall kepe company together, so that a lytle chylde shall rule them.
Isa.11.7	The kowe Ꟶ the Bere shall fede together, Ꟶ their yonge ones shall lye together. The Lyon shall eate strawe lyke the oxe, or the kowe.
Isa.11.8	The childe whyle he sucketh, shal haue a desire to the serpentes nest, and when he is weaned, he shall put hys hande into the Cockatryce denne.
Isa.11.9	No man shall do euel to another, no man shal destroye another, in all the hyll of my holynes. For the earth shalbe full of the knowledge of the Lord, euen as the see floweth ouer with water.
Isa.11.10	And in that daye shal the gentyles enquere after the rote of Iesse which shalbe set vp for a token vnto the people, Ꟶ hys dwellynge shalbe glorious.
Isa.11.11	At the same time shal the lord take in hande agayne, to conquere the remnaunt of his people (which shalbe left alyue) From the Assyrians, Egypcians, Arabians, Morians, Elamites, Caldeyes, Antiochians and from the Ilandes of the see.
Isa.11.12	And he shall sett vp a token amonge the Gentyles, and gather together the dispersed of Israel, yee Ꟶ the out castes of Iuda from the foure corners of the worlde.
Isa.11.13	The hatred of Ephraim also and enemyes of Iuda shalbe cleane roted oute. Ephraim shall beare no euell will to Iuda, and Iuda shal not hate Ephraim:
Isa.11.14	but they both together shall flye vpon the shoulders of the Philistines toward the west, and spoyle them together that dwell towarde the East. The Idumytes and the Moabites shall lett their handes fall, Ꟶ the Ammonites shalbe obedient vnto them.
Isa.11.15	The Lorde also shall cleue the tunges of the Egypcians see, Ꟶ with a myghtie wynde shall he lyft vp his hande ouer Nilus, and shall smyte hys seuen streames, and make men go ouer drye shod.
Isa.11.16	And thus shal there be awaye for his people, that remayneth from the Assirians, lyke as it happened to the Israelites, what tyme they departed out of the land of Egypt.
Isa.12.1	So that then thou shalt saye: O Lorde, I wyll thanke the, for thou waste displeased at me, but refrayne thou from thy wrath, and comforte me.
Isa.12.2	Behold, God is my saluacion in whom I will trust, and not be afrayde. For the Lorde God is my strength, Ꟶ my songe, he also is become my saluacion.
Isa.12.3	Therfore with ioye shall ye drawe water out of the welles of the Sauioure,
Isa.12.4	Ꟶ then shall ye saye: geue thanckes vnto the lorde, call vpon his name, declare his councels amonge the people, kepe them in remembrance, for his name is excellent.
Isa.12.5	O syng prayses vnto the Lord, for he hath done greate thynges, as it is knowne in all the worlde.
Isa.12.6	Crye out, and syng thou that dwellest in Syon, for great is the holy one of Israell in the myddes of the.
Isa.13.1	This is the heuy burthen of Babylon, which Esay the sonne of Amos dyd se.
Isa.13.2	Lyft vp the banner vpon the hye hyl, call vnto them, holde vp youre hande that the Prynces maye go in at the dore.
Isa.13.3	I haue sent for my debytes Ꟶ my gyauntes (sayth the Lord) which shall execute wrath, I wyll call for soch, as triumphe in my glory.
Isa.13.4	There is a noyse of a multytude in the mountaynes, like as of a great people, a russhynge, as though the kyngdomes of the nacions came together. (And the Lord of Hostes, mustreth his armye to bataile.)
Isa.13.5	They come out of a farre countree, from the ende of heauen: Euen the Lord hym selfe wt the ministers of his wrath, to destroye the whole lande.
Isa.13.6	Mourne ye, for the daye of the Lord is at hande, and shall come as a destroyer from the almyghtie.
Isa.13.7	Therfore shall all handes be letten downe, Ꟶ all mens hertes shal melt awaye,
Isa.13.8	they shall stande in feare, carefulnesse and sorow shall come vpon them, Ꟶ they shall haue payne, as a woman that trauayleth with childe. One shall be abasshed of another, and their faces shall burne lyke the flamme of fyre.
Isa.13.9	Beholde, the daye of the Lord shall come, terrible, ful of indignacion, furoure Ꟶ wrath to make the lande waste, Ꟶ to roote out the synners therof.
Isa.13.10	For the starres Ꟶ planetes of heauen shal not geue their lyght, the sunne shalbe darkened in the rysynge, and the moone shall not shyne with his lyght.
Isa.13.11	And I wyll punysh the wyckednesse of the worlde, and the synnes of the vngodly, sayeth the Lorde. The hye stomackes of the proude wyll I take awaye, and wyll laye downe the boastynge of tyrauntes.
Isa.13.12	I will make a man dearer then fyne golde, and a man to be more worth then a golden wedge of Ophir.
Isa.13.13	Therfore, I wyll shake the heauen, and the earth shall remoue out of her place: in the wrath of the Lord of hostes, and in the daye of hys fearfull indignacion.
Isa.13.14	And Babylon shalbe as an hunted or chased doo, and as a shepe that no man taketh vp. Euery man shall turne to hys awne people, and flye eche one into his awne lande.
Isa.13.15	Who so is founde alone, shalbe shot thorow: And who so gather together, shalbe destroyed with the swerde.
Isa.13.16	Their chyldren shalbe slayne before their eyes, their houses spoyled, and their wyues rauished.
Isa.13.17	For lo, I shall brynge vp the Medes agaynst them, which shall not regarde siluer, nor be desirous of gold.
Isa.13.18	With bowes shall they destroye the yong chidren, Ꟶ haue no pytie vpon wemen wyth chylde, Ꟶ their faces shall not spare the chyldren.
Isa.13.19	And Babylon (that glory of kyngdomes and bewtye of the Caldees honour) shalbe destroyed euen as God destroyed Sodome and Gomorre.
Isa.13.20	It shall not endure for euer, nether shall there be any more dwellyng there, from generacyon to generacyon. The Arabians shall pytch no tentes there, nether shal the shepheardes make their foldes there any more:
Isa.13.21	but fearfull wild beastes shall lye there, Ꟶ the houses shalbe full of greate Dules. Estriches shall dwel there, Ꟶ Apes shal daunse there
Isa.13.22	wild cattes shal crye in the palaces, and Dragons shalbe in the pleasaunt houses. And as for Babylons tyme it is at hand, Ꟶ her dayes shal not be prolonged.
Isa.14.1	But the Lord wylbe mercyfull vnto Iacob, and wil yet chose Israel agayne, and set them in their awne lande. Straungers shal cleaue vnto them, Ꟶ get them to the house of Iacob.
Isa.14.2	The people shal take them, Ꟶ cary them home to their awne lande. And make them to enherite the house of Israel in the lande of the Lord that they maye be seruauntes Ꟶ hand maydens of the Lord. They shal take those prisoners whose captyues they had bene a fore: Ꟶ rule those that had oppressed them.
Isa.14.3	When the Lord now shal bringe the to rest, from the trauayle, feare, Ꟶ harde bondage that thou wast laden wt all:
Isa.14.4	then shalt thou vse thys mockage vpon the kyng of Babylon, Ꟶ saye: How happeneth it that the oppressour leaueth of? Is the golden tribute come to an ende?
Isa.14.5	The Lord hath broken the ceptre of the vngodly Ꟶ the rodd of the lordly.
Isa.14.6	Which when he is wroth smyteth the people wt continual strokes, Ꟶ tyrannouselye reignethe ouer the hethen whom he persecuted without compassion.
Isa.14.7	And therfore the whole worlde is now at rest Ꟶ quyetnes and men synge for ioye.
Isa.14.8	Ye, euen the Fyrre trees Ꟶ Cedres of libanus reioyse at thy fall sayeng: Nowe that thou art layd downe, there come no mo vp to hewe downe vs.
Isa.14.9	Hell also beneth trembleth to mete the at thy commynge, Ꟶ for thy sake hath raysed his deade, Ꟶ all myghtie men Ꟶ princes of the earth. All kynges of the earth stande vp from their seates,
Isa.14.10	that they may all answere Ꟶ speake vnto the. Art thou become weake also as we? art thou become lyke vnto vs?
Isa.14.11	Thy pompe and thy pryde is layde downe into the pyt, and so is the melody of thy instrumentes. Wormes be layde vnder the, Ꟶ wormes are thy couerynge.
Isa.14.12	How art thou fallen from heauen (O Lucifer) thou faire mornynge childe? how hast thou gotten a fall euen to the grounde, and art become weaker then the people?
Isa.14.13	For thou saydest in thyne herte: I will clyme vp into heauen, Ꟶ exalte my throne aboue besyde the starres of God, I will syt also vpon the holy mount towarde the North,
Isa.14.14	I will clyme vp aboue the cloudes, and wylbe lyke the hyghest of al.
Isa.14.15	Yet thou shalt be brought downe to the depe of hell.
Isa.14.16	They that se the, shall narowly loke vpon the, and thynke in them selues, sayenge: Is thys the man, that brought all landes in feare, and made the kingdomes afrayde?
