Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.7.14	And therfore, euen as I haue done vnto Siloh, so wyll I do to thys house, that my name is geuen vnto (Ꟶ that ye put youre trust in) ye vnto the place that I haue geuen to you and your fathers.
Jer.7.15	And I shal thrust you out of my syght, as I ha e cast out all youre brethren the whole sede of Ephraim.
Jer.7.16	Therfore, thou shalt not praye for thys people, thou shalt nether geue thanckes, nor byd prayer for them: thou shalt make no intercession to me for them, for in no wyse wyll I heare the.
Jer.7.17	Seyst thou not what they do in the cyties of Iuda, Ꟶ in the streats of Ierusalem.
Jer.7.18	The chyldren gather styckes, the fathers kyndle the fyre, the women kneade the dowghe, to bake cakes for the quene of heauen. They poure out drynckoffrynges vnto straunge goddes, to prouok me vnto wrath.
Jer.7.19	Howbeit they hurte not me (sayeth the lord) but rather confounde, Ꟶ shame them selues.
Jer.7.20	And therfore thus sayeth the Lord God: behold, my wrath Ꟶ my indignacion shalbe poured out vpon this place, vpon men Ꟶ catell vpon the trees in the felde Ꟶ frute of the lande, Ꟶ it shall burne so that no man maye quench it.
Jer.7.21	Thus sayeth the Lorde of Hostes the God of Israel: Heape vp your burnt offrynges wyth your sacrifyces, and eate the fleshe.
Jer.7.22	For when I brought youre fathers out of Egypt, I spake no worde vnto them of burnt offrynges Ꟶ sacryfyces:
Jer.7.23	but this I commaunded them, sayinge: herken Ꟶ obeye my voyce, and I shalbe youre God, and ye shall be my people: so that ye walcke in all the wayes, whych I haue commaunded you, that ye maye prospere.
Jer.7.24	But they were not obedient, they inclyned not theyr eares there vnto, but went after theyr awne ymagynacyons Ꟶ after the mocyons of theyr awne wycked herte, Ꟶ so turned them selues awaye, and conuerted not vnto me.
Jer.7.25	And this haue they done, from the tyme that youre fathers came out of Egypt, vnto thys daye. Neuertheles, I sent vnto you, all my seruauntes the prophetes. I rose vp early, Ꟶ sent you worde,
Jer.7.26	yet wolde they not herken, ner offre me theyr eares, but were obstynate, Ꟶ worse then theyr fathers.
Jer.7.27	And thou shalt now speake al these wordes vnto them, but they shall not heare the: thou shalt crye vpon them, but they shall not answere the.
Jer.7.28	Therfore, shalt thou saye vnto them: this is the people, that nether heareth the voyce of the Lorde theyr God, ner receaueth hys correccyon. Faythfulnesse and treuth is cleane roted out of theyr mouth.
Jer.7.29	Wherfore cut of thyne hearre O Ierusalem, Ꟶ cast it awaye, take vp a complaynte on hye, for the Lord hath cast awaye, and scatred the people that he is displeased withall.
Jer.7.30	For the chyldren of Iuda haue done euell in my syght, sayeth the Lord. They haue set vp theyr abhominacyons, in the house that hath my name, and haue defyled it.
Jer.7.31	They haue also buylded an aulter at Topheth, which is in the valley of the chyldren of Hennom: that they myght burne theyr sonnes Ꟶ daughters in fyre, which I neuer commaunded them, nether came it euer in my thought.
Jer.7.32	And therfore beholde, the dayes shall come (sayeth the Lorde) that it shall nomore be called Topheth, or the valley of the chyldren of Hennom, but the valley of slaughter, for in Topheth, they shalbe buried, because they shall els haue no rowme.
Jer.7.33	Yee, the deed bodyes of this people shalbe eaten vp of the foules of the ayre Ꟶ wylde beastes of the erth, and no man shall fraye them awaye.
Jer.7.34	And as for the voyce of myrth Ꟶ gladnes of the cytyes of Iuda, Ꟶ Ierusalem, the voyce of the brydegrome, and of the bryde. I wyll make them ceasse, for the lande shalbe desolate.
Jer.8.1	At the same tyme sayeth the Lorde, the bones of the kynges of Iuda, the bones of his prynces, the bones of the prestes Ꟶ prophetes, yee, Ꟶ the bones of the cytezins of Ierusalem, shall be brought out of theyr graues
Jer.8.2	Ꟶ layed agaynst the Sunne, the Moone Ꟶ all the heauenly hoost: whom they loued, whom they serued, whom they ranne after, whom they sought and worshypped. They shall nether be gathered together ner buryed, but shall lye as donge vpon the earth, to theyr shame and despysynge.
Jer.8.3	And all they that remayne of this wycked generacion, shall desyre rather to dye then to lyue: wheresoeuer they remaine, and whereas I scatre them, sayeth the Lord of hostes.
Jer.8.4	Thys shalt thou saye vnto them also. Thus sayeth the Lorde. Do men fall so, that they aryse not vp agayne? Or yf Israell repent, wyll not god turne ageyn to them?
Jer.8.5	Wherfore then is this people Ꟶ Ierusalem gone so farre backe, that they turne not agayne? They are euer the longer the more obstinat, and wyll not be conuerted.
Jer.8.6	For I haue loked, Ꟶ consydered: but there is no man that speaketh a good word: there is no man that taketh repentaunce for hys synne, that wyll so moch as saye: wherfore, haue I done thys? But euery man (as soone as he is turned backe) runneth forth styll, lyke a wylde horse in a battayll.
Jer.8.7	The Storke in the ayer knoweth hys apoynted tyme, the Turtle doue the Swalow Ꟶ the Crane consydre the tyme of theyr trauayll, but my people wyll not knowe the tyme of the punyshment of the Lorde.
Jer.8.8	How darre ye saye then, we are wyse, we haue the lawe of the Lorde amonge vs? Suerly in vayne hath he prepared his penne, Ꟶ vaynly haue the wryters wryten it:
Jer.8.9	therfore shall the wyse be confounded, they shalbe afrayed Ꟶ taken: for lo, they haue cast out the worde of the Lorde: what wysdome can then be amonge them?
Jer.8.10	Wherfore, I wyll geue theyr wyues vnto aleauntes, and theyr feldes to destroyers. For from the lowest vnto the hyest, they folowe all filthy lucre: Ꟶ from the Prophete vnto the preste, they deale all wt lyes.
Jer.8.11	Neuerthelesse, they heale the hurte of my people very slenderlye, sayenge: peace, peace, where there is no peace at all.
Jer.8.12	Fye for shame, how abhominable thynges do they? and yet they be not ashamed, yee, they knowe of no shame. Wherfore, in the tyme of theyr visytacion, they shall fall amonge the deed bodyes, Ꟶ be ouerthrowne sayeth the Lorde.
Jer.8.13	Moreouer, I wyll consume them in deade (sayeth the Lord) so that there shall not be one grape vpon the vyne, nether one fygg vpon the fyge tre, and the leaues shalbe plucte of. And the thynge that I haue gyuen them shall be taken from them:
Jer.8.14	why prolonge we the tyme? Let vs gather oure selues together, and go into the stronge cytie, there shall we be in rest. For the Lorde oure God hath put vs to sylence, Ꟶ geuen vs water mixte wt gall, to dryncke: because we haue synned agaynst hym.
Jer.8.15	We loked for peace, Ꟶ we fare not the better, we wayted for the tyme of health, Ꟶ lo, here is nothynge but trouble.
Jer.8.16	The noyse of his horsses is hearde from Dan, the whole lande is afrayed at the neyenge of his stronge horsses: for they are come in, Ꟶ haue deuoured the lande, wt all that is in it: the cyties, and those that dwell therin.
Jer.8.17	Moreouer, I wyll sende Cockatrices Ꟶ serpentes amonge you (which wyll not be charmed) Ꟶ they shall byte you, sayeth the Lorde.
Jer.8.18	I wolde haue had comforte agenst sorowe: but sorowe is come vpon me, and heuynes vexeth my hert:
Jer.8.19	for lo, the voyce of the cryenge of my people is herde for feare of them, that come from a farre countre. Is not the Lorde in Syon? Is not the Kyng, in her? Wherfore then haue they greued me (shall the Lorde saye) wt theyr ymages Ꟶ foolysh straunge fashyons of a foreyne god?
Jer.8.20	The haruest is gone, the Sommer hath an ende, Ꟶ we are not helped.
Jer.8.21	I am sore vexed, because of the hurte of my people. I am heuy Ꟶ abashed,
Jer.8.22	is ther no triacle at Gilead? Is ther no physycyon ther? Why then is not the helthe of my people recouered?
Jer.9.1	O who wyll geue my head water ynough, and a wel of teares for myne eyes: that I maye wepe night and daye: for the slaughter of my people?
Jer.9.2	Wolde God, that I had a cotage some where farre from folcke, that I myght leaue my people, and goo from them: for they be all aduoutrers Ꟶ a shrynckynge sorte.
Jer.9.3	They bende theyr tunges lyke bowes, to shote out lyes. They wax stronge vpon erthe. As for the trueth, they maye nothynge awaye with all in the worlde. For they go from one wyckednes to another, and wyll not knowe me, sayeth the Lorde.
Jer.9.4	Yee, one must kepe hym selfe from another, no man may safely trust his awne brother: for one brother vndermyndeth another, one neyghboure begileth another.
Jer.9.5	Yee one dissembleh wt another, and they deale wt no trueth. They haue practysed theyr tunges to lye, Ꟶ taken great paynes to do mischefe.
Jer.9.6	Thou syttest in the myddes of a dysceatfull people, which for very dissemblyng falshede, wyll not knowe me, sayeth the Lord.
Jer.9.7	Therfore, thus sayeth the Lorde of Hostes: beholde, I wyll melte them, and trye them, for what shuld I els do to my people.
Jer.9.8	Theyr tunges are lyke sharpe arowes, to speake dysceate. Wyth theyr mouth they speake peaceably to theyr neyghboure, but preuely they laye wayte for hym.
Jer.9.9	Shulde I not punysh them for these thynges, sayeth the Lorde? Or shulde I not be auenged of any soche people as thys?
Jer.9.10	Upon the mountaines will I take vp a lamentacion Ꟶ a sorowful crie, Ꟶ a mourninge vpon the fayre playnes of the wildernesse. Namely, how they are so brente vp, that no man goeth there any moore. Yee, a man shall not heare one beaste crye there. Byrdes Ꟶ catell are all gone from thenc
Jer.9.11	I will make Ierusalem also an heape of stones, Ꟶ a denne of venymous wormes. And I will make the cyties of Iuda so waste, that no man shall dwell therin.
Jer.9.12	What man is so wyse, as to vndestande thys? Or to whom hath the Lord spoken by mouth, that he may shewe this, Ꟶ saye. O thou lande, why perishest thou so? Wherfore art thou so brent vp, Ꟶ lyke a wyldernes, that no man goeth thorow?
Jer.9.13	Yee, the Lorde hym selfe tolde the same vnto them, that forsoke hys lawe, Ꟶ kepte not the thynge that he gaue them in commaundement, nether lyued therafter:
Jer.9.14	but folowed the wickednes of theyr awne hertes, Ꟶ serued straunge Goddes, as theyr fathers taught them.
Jer.9.15	Therfore, thus sayeth the Lorde of Hostes, the God of Israel. Beholde, I wyll fede this people wt wormwod, Ꟶ geue them gall to dryncke,
Jer.9.16	I wyll scatre them also among the Heathen, whom nether they ner theyr fathers haue knowne: Ꟶ I will sende a swearde amonge them, to persecute them, vntill I bryng them to naught.
Jer.9.17	Moreouer, thus sayeth the Lord of Hostes. Beware of the vengeaunce that hangeth ouer you: and cal for mourning wyues, Ꟶ sende for wyse wemen: that they come shortly,
Jer.9.18	and synge a mournynge songe of you: that the teares may fall out of oure eyes, and that our eye lyddes maye gusshe out of water.
Jer.9.19	For there is a lamentable noyse hearde of Sion. O how are we so sore destroyed? O how are we so pyteously confounded? We must forsake our awne naturall countre, Ꟶ we are shut out of oure awne lodgynges.
Jer.9.20	Yet heare the worde of the Lorde (O ye wemen) Ꟶ let youre eares regarde the wordes of his mouth: that ye may lerne youre daughters to mourne, Ꟶ that euery one may teach her neyghbouresse, to make lamentacyon.
Jer.9.21	Namely thus: Death is clymynge vp in at oure wyndowes, he is come into oure houses, to destroye the chylde before the dore, and the yonge man in the strete.
Jer.9.22	But tell thou playnely, thus sayeth the Lorde. The deed bodyes of men shall lye vpon the grounde, as the donge vpon the felde, Ꟶ as the heye after the mower, Ꟶ ther shalbe no man to take them vp.
Jer.9.23	Thus sayeth the Lorde. Let not the wyse man reioyse in his wysdome, ner the strong man in his strength, nether the ryche man in his rychesse.
Jer.9.24	But who so will reioyse, let hym reioyse in this, that he vnderstandeth, Ꟶ knoweth me: for I am the Lorde, which do mercy, equyte and ryghteousnesse vpon the earth. Therfore, haue I pleasure in soch thynges, sayeth the Lorde.
Jer.9.25	Beholde, the tyme commeth (sayeth the Lorde) that I wyll vyset all them, whose fore skynne is vncircumcysed.
Jer.9.26	The Egyptians, the Iewes, the Edomytes, the Ammonytes, the Moabites. and the shauen Madianytes, that dwell in the wyldernes. For all the Gentiles are vncircumcysed in the flesh, but all the house of Israell are vncircumcysed in the herte.
Jer.10.1	Heare the worde of the Lorde that he speaketh vnto the, O thou house of Israel.
Jer.10.2	Thus sayeth the Lorde. Ye shall not lerne after the maner of the Heathen, Ꟶ ye shall not be afrayed for the tokens of heauen: for the Heathen are afrayed of soch:
Jer.10.3	yee, al the customes and lawes of the Gentyles are nothynge, but vanyte. They hewe downe a tree in the wod with the handes of the worckeman, and fashyon it wt the axe:
Jer.10.4	they couer it ouer with golde or siluer, they fasten it with nayles Ꟶ hammers, that it moue not.
Jer.10.5	It standeth as styf as the palme tree, it can nether speake ner go one fote, but must be borne. Be not ye afrayed of soch, for they can do nether good ner euell.
Jer.10.6	But there is none lyke vnto the, O Lorde, Ꟶ great is the name of thy power.
Jer.10.7	Who wolde not feare the? O kyng of the Gentils for thyne is the domynion. For amonge all the wyse men of the Gentyles, and in all theyr kyngdomes, there is none that maye be lickened vnto the.
